hand,start_frame_0_based,start_frame_1_based,end_frame_0_based,end_frame_1_based,run_length,start_reason,subaction_index,narration_id,narration,sub_start_1_based,sub_stop_1_based
right,12691,12692,12691,12692,1,smoothed_contact_0_to_1,85,P01_109_85,put down potato slice,12670,12692
left,12724,12725,12724,12725,1,smoothed_contact_0_to_1,86,P01_109_86,pick up potato slice,12723,12753
left,12726,12727,12726,12727,1,smoothed_contact_0_to_1,86,P01_109_86,pick up potato slice,12723,12753
left,12729,12730,12749,12750,21,smoothed_contact_0_to_1,86,P01_109_86,pick up potato slice,12723,12753
right,12758,12759,12765,12766,8,smoothed_contact_0_to_1,87,P01_109_87,put down potato slice,12758,12786
left,12778,12779,12784,12785,7,smoothed_contact_0_to_1,87,P01_109_87,put down potato slice,12758,12786
right,12879,12880,13042,13043,164,smoothed_contact_0_to_1,88,P01_109_88,pick up knife,12876,12926
left,12999,13000,13072,13073,74,smoothed_contact_0_to_1,89,P01_109_89,cut potato slice,12915,13036
right,13047,13048,13085,13086,39,smoothed_contact_0_to_1,90,P01_109_90,put down knife,13025,13055
left,13078,13079,13078,13079,1,smoothed_contact_0_to_1,91,P01_109_91,put down potato slice,13065,13090
left,13080,13081,13081,13082,2,smoothed_contact_0_to_1,91,P01_109_91,put down potato slice,13065,13090
right,13108,13109,13109,13110,2,smoothed_contact_0_to_1,92,P01_109_92,pick up potato,13096,13121
left,13110,13111,15502,15503,2393,smoothed_contact_0_to_1,92,P01_109_92,pick up potato,13096,13121
right,13114,13115,13129,13130,16,smoothed_contact_0_to_1,92,P01_109_92,pick up potato,13096,13121
right,13134,13135,15460,15461,2327,smoothed_contact_0_to_1,93,P01_109_93,pick up peeler,13126,13155
right,15464,15465,16952,16953,1489,smoothed_contact_0_to_1,95,P01_109_95,put down potato,15463,15503
left,15508,15509,15553,15554,46,smoothed_contact_0_to_1,96,P01_109_96,pick up peeler blade,15508,15575
left,15557,15558,15750,15751,194,smoothed_contact_0_to_1,96,P01_109_96,pick up peeler blade,15508,15575
left,15760,15761,16142,16143,383,smoothed_contact_0_to_1,97,P01_109_97,fix peeler blade,15574,15772
