verb_class_key,noun_class_key,count,percentage
lift,pin:rolling,7,0.009
dry,hob,7,0.009
pat,water,7,0.009
put,paste,7,0.009
pour,juice,7,0.009
scrape,pan,7,0.009
wrap,bread,7,0.009
divide,plate,7,0.009
throw,garlic,7,0.009
scrape,board:chopping,7,0.009
fill,spoon,7,0.009
lift,blender,7,0.009
lift,bowl,7,0.009
shake,tray,7,0.009
open,presser,7,0.009
throw,leek,7,0.009
open,paste,7,0.009
open,vinegar,7,0.009
throw,lemon,7,0.009
soak,bowl,7,0.009
put,blueberry,7,0.009
put,slicer,7,0.009
remove,fish,7,0.009
scoop,liquid,7,0.009
drink,glass,7,0.009
empty,maker:coffee,7,0.009
measure,spice,7,0.009
cut,wrap:plastic,7,0.009
insert,tablet,7,0.009
flip,bread,7,0.009
mix,broccoli,7,0.009
insert,squash,7,0.009
put,shelf,7,0.009
put,control:remote,7,0.009
turn-off,processor:food,7,0.009
insert,can,7,0.009
scrub,spatula,7,0.009
scoop,butter,7,0.009
hold,cheese,7,0.009
cut,finger:lady,7,0.009
move,control:remote,7,0.009
take,backpack,7,0.009
break,garlic,7,0.009
take,breadstick,7,0.009
pull,dough,7,0.009
empty,bag,7,0.009
remove,burger,7,0.009
put,mango,7,0.009
shake,can,7,0.009
eat,carrot,7,0.009
cut,bacon,7,0.009
remove,salt,7,0.009
remove,box,7,0.009
scrub,top,7,0.009
take,apron,7,0.009
drop,water,7,0.009
close,can,7,0.009
move,salt,7,0.009
move,rice,7,0.009
take,basket,7,0.009
eat,spoon,7,0.009
move,towel:kitchen,7,0.009
insert,hand,7,0.009
hang,glove,7,0.009
put,tea,7,0.009
take,processor:food,7,0.009
remove,clip,7,0.009
move,fork,7,0.009
hold,box,7,0.009
dry,tray,7,0.009
pour,yoghurt,7,0.009
insert,plug,7,0.009
search,spice,7,0.009
scoop,cheese,7,0.009
grate,carrot,7,0.009
move,water,7,0.009
put,finger:lady,7,0.009
press,orange,7,0.009
insert,cloth,7,0.009
insert,oregano,7,0.009
scrub,fork,7,0.009
throw,tea,7,0.009
wash,teapot,7,0.009
dry,maker:coffee,6,0.008
lower,bottle,6,0.008
scoop,powder,6,0.008
peel,squash,6,0.008
close,presser,6,0.008
unroll,bag,6,0.008
wash,basket,6,0.008
wash,aubergine,6,0.008
wash,coriander,6,0.008
open,tomato,6,0.008
move,glove,6,0.008
move,olive,6,0.008
remove,oil,6,0.008
move,oil,6,0.008
apply,water,6,0.008
wash,guard:hand,6,0.008
break,broccoli,6,0.008
remove,corn,6,0.008
look,heat,6,0.008
attach,clip,6,0.008
move,cucumber,6,0.008
unscrew,lid,6,0.008
open,pasta,6,0.008
press,dishwasher,6,0.008
mix,noodle,6,0.008
peel,fish,6,0.008
close,jug,6,0.008
open,jug,6,0.008
unscrew,bottle,6,0.008
peel,courgette,6,0.008
mix,chilli,6,0.008
wash,fish,6,0.008
pour,raisin,6,0.008
remove,tofu,6,0.008
move,yoghurt,6,0.008
wash,blueberry,6,0.008
unwrap,stick:crab,6,0.008
pull,package,6,0.008
pour,yeast,6,0.008
move,thermometer,6,0.008
mix,salt,6,0.008
pour,pan,6,0.008
pour,bottle,6,0.008
shake,water,6,0.008
open,processor:food,6,0.008
remove,lime,6,0.008
open,plate,6,0.008
mix,yoghurt,6,0.008
wash,clip,6,0.008
move,skin,6,0.008
open,mat,6,0.008
pour,pea,6,0.008
peel,ginger,6,0.008
pour,broccoli,6,0.008
turn-on,bottle,6,0.008
pour,pot,6,0.008
pull,rack:drying,6,0.008
wash,cap,6,0.008
set,machine:washing,6,0.008
turn,pan,6,0.008
insert,spice,6,0.008
sprinkle,tomato,6,0.008
close,tap,6,0.008
adjust,blender,6,0.008
insert,crisp,6,0.008
flip,cucumber,6,0.008
squeeze,orange,6,0.008
put,cooker:slow,6,0.008
wash,sauce,6,0.008
insert,brush,6,0.008
empty,kettle,6,0.008
empty,jar,6,0.008
take,fish,6,0.008
adjust,paper,6,0.008
insert,blender,6,0.008
take,apple,6,0.008
adjust,maker:coffee,6,0.008
sprinkle,corn,6,0.008
insert,curry,6,0.008
apply,cream,6,0.008
wrap,plate,6,0.008
turn-down,machine:washing,6,0.008
put,processor:food,6,0.008
insert,mushroom,6,0.008
wrap,bowl,6,0.008
throw,leaf,6,0.008
throw,courgette,6,0.008
wrap,container,6,0.008
wrap,dough,6,0.008
insert,ginger,6,0.008
close,yoghurt,6,0.008
squeeze,cream,6,0.008
cook,tomato,6,0.008
wrap,meat,6,0.008
insert,freezer,6,0.008
insert,flour,6,0.008
wash,processor:food,6,0.008
adjust,aubergine,6,0.008
crush,bottle,6,0.008
take,turmeric,6,0.008
insert,chocolate,6,0.008
take,cocktail,6,0.008
throw,spoon,6,0.008
take,beer,6,0.008
take,cooker:slow,6,0.008
take,control:remote,6,0.008
eat,meat,6,0.008
eat,hand,6,0.008
cut,celery,6,0.008
dry,top,6,0.008
put,choi:pak,6,0.008
dry,juicer,6,0.008
put,cellar:salt,6,0.008
transition,ladder,6,0.008
remove,board:chopping,6,0.008
put,noodle,6,0.008
hang,bag,6,0.008
take,beef,6,0.008
remove,chicken,6,0.008
take,bean:green,6,0.008
cut,pear,6,0.008
eat,pasta,6,0.008
throw,salad,5,0.007
cook,rice,5,0.007
divide,fish,5,0.007
remove,stalk,5,0.007
close,cereal,5,0.007
adjust,towel,5,0.007
insert,grape,5,0.007
open,pizza,5,0.007
fold,foil,5,0.007
wash,presser,5,0.007
scrub,juicer,5,0.007
take,hoover,5,0.007
scrape,spoon,5,0.007
serve,curry,5,0.007
cut,salad,5,0.007
adjust,knife,5,0.007
scrub,lid,5,0.007
put,grape,5,0.007
finish,tv,5,0.007
check,pot,5,0.007
hold,bread,5,0.007
divide,garlic,5,0.007
insert,holder,5,0.007
crush,avocado,5,0.007
wash,food,5,0.007
open,spreads,5,0.007
wash,pin:rolling,5,0.007
cut,knife,5,0.007
mix,spreads,5,0.007
cut,kiwi,5,0.007
insert,ladle,5,0.007
rip,foil,5,0.007
break,bean:green,5,0.007
scrape,bowl,5,0.007
remove,leek,5,0.007
take,celery,5,0.007
pour,oregano,5,0.007
throw,jar,5,0.007
open,salad,5,0.007
open,rubbish,5,0.007
turn-on,dishwasher,5,0.007
put,lime,5,0.007
filter,rack:drying,5,0.007
wait,oil,5,0.007
pour,thyme,5,0.007
unroll,towel,5,0.007
check,package,5,0.007
remove,blueberry,5,0.007
cut,cake,5,0.007
flip,fish,5,0.007
scrape,pepper,5,0.007
insert,choi:pak,5,0.007
remove,salmon,5,0.007
move,lemon,5,0.007
move,rest,5,0.007
put,parsley,5,0.007
throw,pepper,5,0.007
insert,cabbage,5,0.007
insert,burger,5,0.007
take,drawer,5,0.007
move,sandwich,5,0.007
remove,pot,5,0.007
check,pizza,5,0.007
move,napkin,5,0.007
pour,vegetable,5,0.007
move,omelette,5,0.007
take,funnel,5,0.007
remove,paper,5,0.007
cut,sandwich,5,0.007
hold,plate,5,0.007
move,cooker:slow,5,0.007
move,corn,5,0.007
insert,drink,5,0.007
move,cover,5,0.007
take,cutter:pizza,5,0.007
move,cupboard,5,0.007
gather,pepper,5,0.007
move,curry,5,0.007
hold,tray,5,0.007
take,book,5,0.007
check,maker:coffee,5,0.007
wash,cutter:pizza,5,0.007
break,butter,5,0.007
press,rack:drying,5,0.007
open,mushroom,5,0.007
move,fish,5,0.007
adjust,lid,5,0.007
insert,bacon,5,0.007
put,hoover,5,0.007
take,cumin,5,0.007
lift,spatula,5,0.007
move,wrap,5,0.007
empty,spoon,5,0.007
take,roll,5,0.007
eat,soup,5,0.007
attach,knife,5,0.007
rip,skin,5,0.007
insert,teapot,5,0.007
take,top,5,0.007
eat,pepper,5,0.007
scoop,oatmeal,5,0.007
look,package,5,0.007
scoop,carrot,5,0.007
throw,biscuit,5,0.007
mix,cabbage,5,0.007
remove,foil,5,0.007
mix,carrot,5,0.007
squeeze,cheese,5,0.007
mix,chopstick,5,0.007
check,book,5,0.007
insert,sandwich,5,0.007
close,paste,5,0.007
mix,cooker:slow,5,0.007
pull,plug,5,0.007
put,beer,5,0.007
sprinkle,chilli,5,0.007
close,pasta,5,0.007
mix,aubergine,5,0.007
put,presser,5,0.007
feel,bread,5,0.007
sprinkle,onion,5,0.007
put,avocado,5,0.007
wash,lentil,5,0.007
close,sandwich,5,0.007
put,spinach,5,0.007
insert,yeast,5,0.007
rip,towel:kitchen,5,0.007
remove,cup,5,0.007
insert,wrap:plastic,5,0.007
close,sink,5,0.007
wrap,package,5,0.007
put,alarm,5,0.007
wash,blackberry,5,0.007
insert,thermometer,5,0.007
empty,cheese,5,0.007
pull,towel:kitchen,5,0.007
empty,can,5,0.007
let-go,pin:rolling,5,0.007
insert,vinegar,5,0.007
take,whisk,5,0.007
measure,rice,5,0.007
empty,box,5,0.007
attach,kettle,5,0.007
put,coriander,5,0.007
smell,mixture,5,0.007
take,pan:dust,5,0.007
check,bread,5,0.007
close,wrap,5,0.007
lock,processor:food,5,0.007
lift,hob,5,0.007
turn,tray,5,0.007
insert,peeler:potato,5,0.007
put,breadstick,5,0.007
look,book,5,0.007
coat,sponge,5,0.007
throw,cucumber,5,0.007
insert,onion:spring,5,0.007
close,liquid:washing,5,0.007
close,leaf,5,0.007
remove,grape,5,0.007
remove,artichoke,5,0.007
lift,omelette,5,0.007
sort,cucumber,5,0.007
pour,container,5,0.007
turn-off,hoover,5,0.007
throw,filter,5,0.007
sort,mat,5,0.007
lift,towel,5,0.007
take,stalk,5,0.007
insert,pin:rolling,5,0.007
rip,wrap:plastic,5,0.007
wash,choi:pak,5,0.007
throw,can,5,0.007
soak,plate,5,0.007
scoop,powder:washing,5,0.007
mix,fish,5,0.007
close,olive,5,0.007
eat,liquid,5,0.007
put,curry,5,0.007
soak,spoon,5,0.007
roll,bread,5,0.007
insert,rest,5,0.007
pat,colander,5,0.007
insert,powder:washing,5,0.007
dry,spatula,4,0.005
add,chicken,4,0.005
wash,chilli,4,0.005
press,bag,4,0.005
put,omelette,4,0.005
wrap,sandwich,4,0.005
check,rice,4,0.005
take,slicer,4,0.005
eat,mixture,4,0.005
screw,cap,4,0.005
check,flour,4,0.005
screw,lid,4,0.005
scrape,stock,4,0.005
use,cloth,4,0.005
roll,cake,4,0.005
remove,stock,4,0.005
cut,mango,4,0.005
put,straw,4,0.005
peel,wrap:plastic,4,0.005
pour,garlic,4,0.005
put,oatmeal,4,0.005
open,cap,4,0.005
open,bowl,4,0.005
cut,omelette,4,0.005
put,orange,4,0.005
fold,package,4,0.005
rub,oil,4,0.005
scrape,spreads,4,0.005
filter,can,4,0.005
flip,pork,4,0.005
fill,maker:coffee,4,0.005
add,pan,4,0.005
check,knob,4,0.005
open,powder,4,0.005
fill,can,4,0.005
check,aubergine,4,0.005
filter,rice,4,0.005
scrape,coffee,4,0.005
filter,potato,4,0.005
filter,pot,4,0.005
put,roll,4,0.005
pour,noodle,4,0.005
take,mint,4,0.005
remove,apron,4,0.005
pour,kale,4,0.005
throw,egg,4,0.005
scoop,spice,4,0.005
divide,onion,4,0.005
wait,water,4,0.005
put,pork,4,0.005
wash,corn,4,0.005
filter,cup,4,0.005
scoop,spoon,4,0.005
scoop,thyme,4,0.005
wash,apple,4,0.005
take,liquid,4,0.005
filter,cheese,4,0.005
filter,sink,4,0.005
put,plug,4,0.005
take,kiwi,4,0.005
wrap,blender,4,0.005
remove,vegetable,4,0.005
open,hob,4,0.005
check,oil,4,0.005
take,freezer,4,0.005
pour,leaf,4,0.005
brush,rice,4,0.005
adjust,bottle,4,0.005
pour,leek,4,0.005
empty,pan:dust,4,0.005
adjust,board:chopping,4,0.005
flip,chicken,4,0.005
scrape,mixture,4,0.005
use,towel,4,0.005
flip,bowl,4,0.005
pour,plate,4,0.005
put,whisk,4,0.005
pat,hand,4,0.005
flatten,paper,4,0.005
take,paprika,4,0.005
throw,meat,4,0.005
wait,kettle,4,0.005
pat,fork,4,0.005
wash,bean:green,4,0.005
wash,cupboard,4,0.005
divide,choi:pak,4,0.005
throw,pasta,4,0.005
move,pin:rolling,4,0.005
throw,wrap:plastic,4,0.005
insert,paper,4,0.005
close,hummus,4,0.005
turn,pizza,4,0.005
pull,glove,4,0.005
insert,nut,4,0.005
mix,pea,4,0.005
mix,paste,4,0.005
cook,bread,4,0.005
remove,holder,4,0.005
put,cutter:pizza,4,0.005
shake,leek,4,0.005
squeeze,hand,4,0.005
turn,ring:onion,4,0.005
squeeze,garlic,4,0.005
insert,pork,4,0.005
mix,kale,4,0.005
insert,processor:food,4,0.005
shake,hob,4,0.005
close,oregano,4,0.005
turn-off,top,4,0.005
remove,jug,4,0.005
mix,spatula,4,0.005
insert,lime,4,0.005
close,butter,4,0.005
set,hob,4,0.005
close,clip,4,0.005
close,coffee,4,0.005
set,microwave,4,0.005
set,oven,4,0.005
move,biscuit,4,0.005
put,funnel,4,0.005
pull,battery,4,0.005
squeeze,sausage,4,0.005
remove,maker:coffee,4,0.005
insert,juicer,4,0.005
put,fruit,4,0.005
cook,omelette,4,0.005
pull,bread,4,0.005
close,flour,4,0.005
cook,mixture,4,0.005
shake,knife,4,0.005
close,pan,4,0.005
serve,food,4,0.005
put,blackberry,4,0.005
sort,wrap,4,0.005
sort,wire,4,0.005
sort,shell:egg,4,0.005
remove,courgette,4,0.005
soak,pan,4,0.005
look,kitchen,4,0.005
soak,spatula,4,0.005
remove,colander,4,0.005
apply,onion,4,0.005
turn-off,microwave,4,0.005
wash,napkin,4,0.005
lift,foil,4,0.005
wash,mango,4,0.005
lift,handle,4,0.005
lift,maker:coffee,4,0.005
lock,cover,4,0.005
apply,spice,4,0.005
sort,food,4,0.005
wash,onion:spring,4,0.005
put,cocktail,4,0.005
put,bacon,4,0.005
look,thermometer,4,0.005
pull,paper,4,0.005
insert,salami,4,0.005
put,cupboard,4,0.005
shake,oatmeal,4,0.005
put,crisp,4,0.005
shake,package,4,0.005
remove,fridge,4,0.005
shake,peach,4,0.005
shake,potato,4,0.005
pull,tray,4,0.005
remove,egg,4,0.005
apply,hummus,4,0.005
put,apron,4,0.005
sprinkle,leaf,4,0.005
lower,handle,4,0.005
put,coconut,4,0.005
slide,dough,4,0.005
squeeze,towel:kitchen,4,0.005
put,fridge,4,0.005
insert,foil,4,0.005
move,plug,4,0.005
search,oil,4,0.005
remove,butter,4,0.005
turn,can,4,0.005
switch,top,4,0.005
take,alarm,4,0.005
move,mushroom,4,0.005
insert,breadstick,4,0.005
adjust,mat,4,0.005
insert,bean:green,4,0.005
insert,fishcakes,4,0.005
move,peeler:potato,4,0.005
cut,cabbage,4,0.005
move,pizza,4,0.005
press,drawer,4,0.005
take,basil,4,0.005
put,juice,4,0.005
move,rubbish,4,0.005
move,sauce,4,0.005
move,sausage,4,0.005
hold,spoon,4,0.005
hold,paper,4,0.005
wash,slicer,4,0.005
hold,kettle,4,0.005
remove,sausage,4,0.005
wash,spinner:salad,4,0.005
hold,glass,4,0.005
check,sink,4,0.005
cut,foil,4,0.005
wash,fruit,4,0.005
take,cellar:salt,4,0.005
search,onion,4,0.005
let-go,spatula,4,0.005
search,spoon,4,0.005
move,foil,4,0.005
remove,cereal,4,0.005
press,rubbish,4,0.005
turn-on,top,4,0.005
move,hand,4,0.005
turn-on,lid,4,0.005
turn,glass,4,0.005
crush,cheese,4,0.005
move,handle,4,0.005
move,fridge,4,0.005
crush,coffee,4,0.005
search,water,4,0.005
move,holder,4,0.005
stretch,bag,4,0.005
remove,salad,3,0.004
add,liquid:washing,3,0.004
wash,funnel,3,0.004
press,container,3,0.004
put,beef,3,0.004
press,cake,3,0.004
put,battery,3,0.004
pour,glass,3,0.004
put,stand,3,0.004
adjust,salmon,3,0.004
remove,microwave,3,0.004
rip,banana,3,0.004
remove,mixture,3,0.004
pour,coconut,3,0.004
roll,bag,3,0.004
put,watch,3,0.004
adjust,clothes,3,0.004
wash,pestle,3,0.004
wash,lime,3,0.004
put,gin,3,0.004
wrap,towel,3,0.004
adjust,alarm,3,0.004
apply,sauce,3,0.004
press,bottle,3,0.004
apply,tomato,3,0.004
roll,lemon,3,0.004
adjust,top,3,0.004
pour,courgette,3,0.004
attach,blender,3,0.004
apply,salt,3,0.004
put,thyme,3,0.004
remove,bottle,3,0.004
pour,cup,3,0.004
adjust,cup,3,0.004
pour,drink,3,0.004
put,ginger,3,0.004
wash,nut,3,0.004
put,tap,3,0.004
put,tablet,3,0.004
put,mat:sushi,3,0.004
wash,ginger,3,0.004
wrap,processor:food,3,0.004
remove,dumpling,3,0.004
remove,rice,3,0.004
adjust,light,3,0.004
check,bag,3,0.004
pull,cloth,3,0.004
wash,parsley,3,0.004
press,mixture,3,0.004
press,bin,3,0.004
brush,presser,3,0.004
wrap,apron,3,0.004
remove,wire,3,0.004
remove,chopstick,3,0.004
adjust,tray,3,0.004
pull,lid,3,0.004
put,paprika,3,0.004
remove,kettle,3,0.004
remove,can,3,0.004
remove,jar,3,0.004
brush,rubbish,3,0.004
rip,meat,3,0.004
remove,avocado,3,0.004
rip,package,3,0.004
break,chocolate,3,0.004
apply,basil,3,0.004
wrap,lid,3,0.004
brush,hand,3,0.004
put,pan:dust,3,0.004
put,caper,3,0.004
pour,tray,3,0.004
wash,opener:bottle,3,0.004
wash,holder,3,0.004
break,cheese,3,0.004
put,soup,3,0.004
remove,tea,3,0.004
pull,towel,3,0.004
put,sink,3,0.004
pull,spatula,3,0.004
wash,grape,3,0.004
pull,carrot,3,0.004
remove,ginger,3,0.004
put,cream,3,0.004
adjust,bag,3,0.004
remove,processor:food,3,0.004
press,pepper,3,0.004
press,kale,3,0.004
remove,top,3,0.004
remove,broccoli,3,0.004
remove,towel:kitchen,3,0.004
put,oven,3,0.004
take,straw,3,0.004
insert,omelette,3,0.004
cut,stock,3,0.004
mix,beef,3,0.004
mix,bacon,3,0.004
shake,plate,3,0.004
turn-off,machine:washing,3,0.004
measure,salt,3,0.004
cut,top,3,0.004
shake,salmon,3,0.004
flip,corn,3,0.004
shake,sauce,3,0.004
shake,tomato,3,0.004
shake,towel,3,0.004
shake,vegetable,3,0.004
close,powder,3,0.004
slide,bread,3,0.004
throw,pear,3,0.004
take,cork,3,0.004
flip,maker:coffee,3,0.004
flip,pan,3,0.004
smell,sauce,3,0.004
flip,potato,3,0.004
flip,scale,3,0.004
soak,board:chopping,3,0.004
throw,sausage,3,0.004
fold,box,3,0.004
cut,pork,3,0.004
look,label,3,0.004
close,rice,3,0.004
soak,tray,3,0.004
throw,sponge,3,0.004
form,mixture,3,0.004
mix,biscuit,3,0.004
mix,bowl,3,0.004
flip,cheese,3,0.004
shake,maker:coffee,3,0.004
turn-on,lighter,3,0.004
move,coffee,3,0.004
fill,pot,3,0.004
move,clothes,3,0.004
take,mat:sushi,3,0.004
turn-on,heater,3,0.004
move,blender,3,0.004
filter,board:chopping,3,0.004
set,scale,3,0.004
stab,cake,3,0.004
move,aubergine,3,0.004
turn-on,cooker:slow,3,0.004
filter,lid,3,0.004
throw,glove,3,0.004
divide,cucumber,3,0.004
mix,tea,3,0.004
mix,sugar,3,0.004
mix,sprout,3,0.004
shake,chicken,3,0.004
turn-off,water,3,0.004
shake,coffee,3,0.004
mix,powder,3,0.004
divide,bread,3,0.004
close,ladder,3,0.004
shake,courgette,3,0.004
turn-off,scale,3,0.004
turn-off,pot,3,0.004
mix,cream,3,0.004
shake,liquid:washing,3,0.004
cut,orange,3,0.004
take,coconut,3,0.004
move,floor,3,0.004
squeeze,package,3,0.004
take,asparagus,3,0.004
insert,battery,3,0.004
insert,beer,3,0.004
insert,shrimp,3,0.004
insert,scale,3,0.004
turn,button,3,0.004
insert,powder,3,0.004
insert,paste,3,0.004
insert,parsley,3,0.004
insert,pan:dust,3,0.004
cut,beef,3,0.004
take,almond,3,0.004
cook,fish,3,0.004
insert,celery,3,0.004
cut,apple,3,0.004
sort,bread,3,0.004
squeeze,presser,3,0.004
insert,lemon,3,0.004
insert,leek,3,0.004
turn,omelette,3,0.004
crush,salt,3,0.004
insert,glove,3,0.004
turn,maker:coffee,3,0.004
stretch,lid,3,0.004
squeeze,towel,3,0.004
cook,water,3,0.004
crush,bag,3,0.004
turn,knife,3,0.004
turn,cucumber,3,0.004
turn,filter,3,0.004
squeeze,air,3,0.004
increase,oven,3,0.004
insert,toaster,3,0.004
sprinkle,pepper,3,0.004
look,bread,3,0.004
look,box,3,0.004
look,bottle,3,0.004
sort,broccoli,3,0.004
grate,lemon,3,0.004
take,caper,3,0.004
hold,bottle,3,0.004
sort,egg,3,0.004
hold,cup,3,0.004
transition,sink,3,0.004
close,rubbish,3,0.004
turn,board:chopping,3,0.004
sort,paper,3,0.004
hold,lid,3,0.004
lift,chopstick,3,0.004
hold,meat,3,0.004
take,blueberry,3,0.004
sort,tomato,3,0.004
sort,tray,3,0.004
spray,hob,3,0.004
turn-off,heater,3,0.004
turn,bottle,3,0.004
hold,tablet,3,0.004
sprinkle,oil,3,0.004
insert,whisk,3,0.004
insert,utensil,3,0.004
sprinkle,oregano,3,0.004
close,spreads,3,0.004
take,battery,3,0.004
move,egg,3,0.004
filter,bowl,3,0.004
insert,cream,3,0.004
peel,avocado,3,0.004
drop,sponge,3,0.004
dry,jug,3,0.004
scoop,milk,3,0.004
pat,omelette,3,0.004
empty,dishwasher,3,0.004
scrape,rubbish,3,0.004
open,garlic,3,0.004
check,onion,3,0.004
scoop,meat,3,0.004
drop,onion,3,0.004
empty,liquid,3,0.004
scrape,sauce,3,0.004
scrape,skin,3,0.004
open,fan:extractor,3,0.004
open,drink,3,0.004
scoop,leaf,3,0.004
open,cucumber,3,0.004
take,pineapple,3,0.004
open,corn,3,0.004
open,cooker:slow,3,0.004
check,phone,3,0.004
open,chilli,3,0.004
open,carrot,3,0.004
empty,package,3,0.004
scrape,tuna,3,0.004
scoop,garlic,3,0.004
scrape,vegetable,3,0.004
open,ladder,3,0.004
take,recipe,3,0.004
drop,spoon,3,0.004
eat,cucumber,3,0.004
open,wine,3,0.004
scoop,shell:egg,3,0.004
open,tuna,3,0.004
take,sink,3,0.004
open,tablet,3,0.004
scoop,tea,3,0.004
take,scotch:egg,3,0.004
wait,sausage,3,0.004
scrape,broccoli,3,0.004
scrape,carrot,3,0.004
scrape,cheese,3,0.004
scrape,chilli,3,0.004
open,paprika,3,0.004
scoop,oil,3,0.004
open,paper,3,0.004
scrape,lemon,3,0.004
open,oatmeal,3,0.004
scrape,meat,3,0.004
take,thyme,3,0.004
dry,glove,3,0.004
eat,pork,3,0.004
eat,biscuit,3,0.004
dry,colander,3,0.004
take,soup,3,0.004
open,light,3,0.004
take,tap,3,0.004
pat,bread,3,0.004
take,wire,3,0.004
pour,bacon,3,0.004
pour,blueberry,3,0.004
scoop,blueberry,3,0.004
throw,bean:green,3,0.004
scoop,avocado,3,0.004
drop,broccoli,3,0.004
throw,choi:pak,3,0.004
throw,container,3,0.004
pour,bean,3,0.004
dry,rest,3,0.004
move,peach,3,0.004
search,cover,3,0.004
fill,box,3,0.004
search,cup,3,0.004
move,mixture,3,0.004
move,processor:food,3,0.004
move,mat,3,0.004
search,fridge,3,0.004
drink,milk,3,0.004
rub,salt,3,0.004
rub,knife,3,0.004
rub,dough,3,0.004
search,knife,3,0.004
turn-on,water,3,0.004
turn-on,tv,3,0.004
move,grater,3,0.004
pour,chilli,3,0.004
search,oven,3,0.004
wash,caper,3,0.004
open,yeast,3,0.004
move,spice,3,0.004
move,wire,3,0.004
move,utensil,3,0.004
unroll,towel:kitchen,3,0.004
check,fish,3,0.004
take,oven,3,0.004
search,bag,3,0.004
scrub,spinner:salad,3,0.004
peel,cabbage,3,0.004
scrub,teapot,3,0.004
dry,ladle,3,0.004
scrub,can,3,0.004
empty,salt,3,0.004
take,pea,3,0.004
move,scissors,3,0.004
drop,floor,3,0.004
scrub,tray,3,0.004
check,recipe,3,0.004
move,salad,3,0.004
move,vegetable,3,0.004
turn,cake,2,0.003
wash,shrimp,2,0.003
take,strawberry,2,0.003
switch,pot,2,0.003
wrap,wire,2,0.003
take,stand,2,0.003
take,bar,2,0.003
remove,brush,2,0.003
switch,spoon,2,0.003
take,soda,2,0.003
wrap,sauce,2,0.003
wrap,toaster,2,0.003
remove,cap,2,0.003
wash,shelf,2,0.003
wrap,colander,2,0.003
take,toaster,2,0.003
take,gin,2,0.003
throw,pan,2,0.003
wrap,knife,2,0.003
take,hand,2,0.003
remove,banana,2,0.003
throw,cap,2,0.003
wrap,foil,2,0.003
throw,chilli,2,0.003
take,kitchen,2,0.003
take,ladder,2,0.003
wrap,box,2,0.003
take,masher,2,0.003
throw,cork,2,0.003
throw,flour,2,0.003
put,yeast,2,0.003
take,melon,2,0.003
wrap,butter,2,0.003
wrap,cheese,2,0.003
remove,basket,2,0.003
remove,bin,2,0.003
take,breadcrumb,2,0.003
throw,bread,2,0.003
wash,straw,2,0.003
transition,floor,2,0.003
wash,strawberry,2,0.003
take,ring:onion,2,0.003
transition,chair,2,0.003
take,turkey,2,0.003
take,powder:washing,2,0.003
throw,top,2,0.003
throw,cup,2,0.003
take,curry,2,0.003
throw,potato,2,0.003
take,wine,2,0.003
take,fridge,2,0.003
take,fruit,2,0.003
take,pestle,2,0.003
remove,biscuit,2,0.003
throw,bowl,2,0.003
take,watch,2,0.003
roll,pin:rolling,2,0.003
turn,fish,2,0.003
remove,rubber,2,0.003
search,box,2,0.003
search,bowl,2,0.003
remove,rest,2,0.003
unroll,clothes,2,0.003
search,bottle,2,0.003
search,book,2,0.003
unroll,top,2,0.003
unlock,cover,2,0.003
scrub,sink,2,0.003
scrub,cutlery,2,0.003
remove,spice,2,0.003
scrub,box,2,0.003
remove,spreads,2,0.003
screw,package,2,0.003
unlock,processor:food,2,0.003
search,garlic,2,0.003
stab,bread,2,0.003
set,machine:sous:vide,2,0.003
shake,blackberry,2,0.003
turn-on,candle,2,0.003
remove,lettuce,2,0.003
wash,handle,2,0.003
shake,air,2,0.003
set,power,2,0.003
remove,noodle,2,0.003
uncover,cooker:slow,2,0.003
serve,pan,2,0.003
season,food,2,0.003
season,chicken,2,0.003
search,vegetable,2,0.003
search,plate,2,0.003
remove,pancake,2,0.003
remove,tablet,2,0.003
screw,clothes,2,0.003
wash,flour,2,0.003
scoop,nut,2,0.003
scoop,squash,2,0.003
scoop,salmon,2,0.003
scoop,rubbish,2,0.003
scoop,pasta,2,0.003
scoop,pan,2,0.003
scoop,onion,2,0.003
scoop,dough,2,0.003
unwrap,onion,2,0.003
roll,bowl,2,0.003
scoop,cinnamon,2,0.003
scoop,almond,2,0.003
wash,celery,2,0.003
rub,sauce,2,0.003
rub,pan,2,0.003
scoop,tomato,2,0.003
scrape,cream,2,0.003
wait,coffee,2,0.003
use,spoon,2,0.003
use,sponge,2,0.003
rip,bacon,2,0.003
remove,yoghurt,2,0.003
wash,dough,2,0.003
scrape,mushroom,2,0.003
use,knife,2,0.003
scrape,pestle,2,0.003
scrape,pork,2,0.003
scrape,pot,2,0.003
remove,tuna,2,0.003
scrape,salad,2,0.003
wash,egg,2,0.003
unwrap,stock,2,0.003
shake,blender,2,0.003
shake,board:chopping,2,0.003
remove,ladder,2,0.003
sort,salami,2,0.003
squeeze,box,2,0.003
wash,paper,2,0.003
sprinkle,water,2,0.003
sprinkle,package,2,0.003
sprinkle,bacon,2,0.003
spray,top,2,0.003
sort,pot,2,0.003
sort,cutlery,2,0.003
sort,plate,2,0.003
sort,onion,2,0.003
sort,mixture,2,0.003
remove,cooker:slow,2,0.003
sort,leek,2,0.003
sort,glass,2,0.003
turn-off,air,2,0.003
turn-down,oven,2,0.003
turn,thermometer,2,0.003
turn,quorn,2,0.003
squeeze,juice,2,0.003
remove,chilli,2,0.003
turn,potato,2,0.003
wash,pear,2,0.003
squeeze,lettuce,2,0.003
