noun,noun_class,count,percentage
raspberry,284,3,0.004
ramekin:peanut,7,3,0.004
meat:mix,28,3,0.004
seed:olive,122,3,0.004
seed:pepper,122,3,0.004
rocket,120,3,0.004
fire,24,3,0.004
package:chicken,26,3,0.004
package:egg,26,3,0.004
package:crispy:pancake,26,3,0.004
sachet:baking:powder,26,3,0.004
roll,227,3,0.004
meat:open,28,3,0.004
mug:coffee,13,3,0.004
roll:cling:film,227,3,0.004
bowl:cheese,7,3,0.004
piece:tomato,43,3,0.004
music,245,3,0.004
mixture:chocolate,71,3,0.004
sink:water,63,3,0.004
sachet:flavour,26,3,0.004
pork,144,3,0.004
mobile,165,3,0.004
milk:condensed,64,3,0.004
piece:pasta,45,3,0.004
pod,59,3,0.004
door:refrigerator,12,3,0.004
mat,84,3,0.004
box:scotch:egg,23,3,0.004
noodle:instant,155,3,0.004
cellar:pepper,180,3,0.004
box:stock:container,23,3,0.004
box:fruit,23,3,0.004
pot:cooking,29,3,0.004
finger:rubber:glove,60,3,0.004
packing:oat,26,3,0.004
sprout:cooked,258,3,0.004
softener,22,3,0.004
packaging:pizza:base,26,3,0.004
heart,28,3,0.004
bag:new,19,3,0.004
cover:pot,89,3,0.004
bag:noodle,19,3,0.004
bag:oatmeal,19,3,0.004
jar:tahini:sauce,40,3,0.004
jean,73,3,0.004
top:kitchen,42,3,0.004
cover:mug,89,3,0.004
jug:cafetiere,66,3,0.004
top:cafetiere,50,3,0.004
can:tomato,61,3,0.004
end:bread,33,3,0.004
bag:sandwich,19,3,0.004
bag:shopping,19,3,0.004
end:cucumber,72,3,0.004
piece:coriander,173,3,0.004
countertop,42,3,0.004
carton:soy:milk,26,3,0.004
knife:fork,58,3,0.004
knife:mezzaluna,4,3,0.004
handle,191,3,0.004
knife:soap,4,3,0.004
packaging:salami,26,3,0.004
tin:baking,35,3,0.004
tray:first,35,3,0.004
tray:ice,35,3,0.004
egg:whisked,53,3,0.004
hole:sink,63,3,0.004
yoghurt:greek,98,3,0.004
cardigan,73,3,0.004
wrap:elastic,107,3,0.004
wool:steel,9,3,0.004
wine:cooking,192,3,0.004
packet:tea,26,3,0.004
bag:bin,19,3,0.004
pak,151,3,0.004
holder:jug,135,3,0.004
water:cold,27,3,0.004
bag:breadstick,19,3,0.004
capsule:coffee,59,3,0.004
bag:glove,19,3,0.004
washer,124,3,0.004
croissant,33,3,0.004
bag:carrot:packing,19,3,0.004
bag:coriander,19,3,0.004
ingredient:pan,34,3,0.004
cap:oil,118,3,0.004
tub:hummus,23,3,0.004
bag:garlic,19,3,0.004
cover:tin,89,3,0.004
carton,26,3,0.004
cover:squeezer,89,3,0.004
time:cooking,111,3,0.004
foil:silver,123,3,0.004
case,23,3,0.004
syrup:maple,279,3,0.004
half:onion,16,3,0.004
lid:salt,6,3,0.004
spoon:sugar,1,3,0.004
film:plastic,100,3,0.004
content:drawer,8,3,0.004
spray,22,3,0.004
lid:milk:bottle,118,3,0.004
extractor,179,3,0.004
bit:pak:choi,151,3,0.004
front:plate,2,3,0.004
peeler:carrot,87,3,0.004
bulb:garlic,51,3,0.004
stock:chicken,95,3,0.004
bit:cheese:packet,26,3,0.004
cucumber:sliced,72,3,0.004
content:bag,19,3,0.004
surface:work,42,3,0.004
tamagoyaki,162,3,0.004
lid:film,6,3,0.004
pepper:chilli,69,3,0.004
temperature:oil,65,3,0.004
end:thermometer,166,3,0.004
bar:cereal,265,3,0.004
leek:extra,117,3,0.004
stone:sharpening,212,3,0.004
spill:coffee,59,3,0.004
basin,63,3,0.004
pastry,137,3,0.004
basket:laundry,168,3,0.004
piece:juicer,106,2,0.003
pan:oil,5,2,0.003
pepperoni,156,2,0.003
pan:small,5,2,0.003
pot:plastic,23,2,0.003
pan:content,5,2,0.003
potato:scoop,30,2,0.003
garlic:more,51,2,0.003
pot:pressure,29,2,0.003
bun:hamburger,33,2,0.003
piece:ice,189,2,0.003
card,49,2,0.003
pot:first,29,2,0.003
form,35,2,0.003
box:food,23,2,0.003
page,49,2,0.003
pot:tupperware,29,2,0.003
piece:butter,78,2,0.003
pot:white,29,2,0.003
pot:yoghurt,98,2,0.003
box:fajitas,23,2,0.003
piece:chicken,57,2,0.003
pot:kettle,44,2,0.003
pen,291,2,0.003
paneer:saag,121,2,0.003
peanut:chopped,133,2,0.003
camera,297,2,0.003
paste,148,2,0.003
paste:nut,148,2,0.003
food:leftover,34,2,0.003
part:pepper:piece,37,2,0.003
part:pepper,37,2,0.003
can:soup,61,2,0.003
plate:salad,2,2,0.003
piece:scotch:egg,246,2,0.003
fry:stir,34,2,0.003
plate:small,2,2,0.003
candy,188,2,0.003
paper:toilet,88,2,0.003
paper:shredded,49,2,0.003
dish:dirty,2,2,0.003
bread:sandwich,33,2,0.003
plug:sink,153,2,0.003
butter:excess,78,2,0.003
plum,293,2,0.003
piece:salad,68,2,0.003
fraiche,143,2,0.003
paper:foiled,49,2,0.003
fragment:fish,119,2,0.003
heat:oven,65,2,0.003
box:yeast,23,2,0.003
box:rice,23,2,0.003
piece:lettuce,120,2,0.003
cap:liquid,118,2,0.003
paper:cooking,49,2,0.003
drawer:washing:machine,124,2,0.003
part:blender,82,2,0.003
heat:hob,65,2,0.003
box:cling:film,23,2,0.003
base:baking:tin,35,2,0.003
stud,77,2,0.003
bin:food:recycling,36,2,0.003
extract:vanilla,299,2,0.003
surface:kitchen,42,2,0.003
basket:cutlery,168,2,0.003
base:coffee:machine,50,2,0.003
base,249,2,0.003
powder:chilli,69,2,0.003
temperature:bowl,65,2,0.003
bar:breakfast,265,2,0.003
temperature:hob,65,2,0.003
temperature:thermometer,65,2,0.003
bao,33,2,0.003
drawer:coffee:machine,50,2,0.003
strip:carrot,41,2,0.003
strainer:pasta,39,2,0.003
drainer:sink,110,2,0.003
fat,28,2,0.003
stool,182,2,0.003
bit:chilli,69,2,0.003
bit:courgette,76,2,0.003
stirrer:coffee,1,2,0.003
stick:chop,80,2,0.003
stick:carrot,41,2,0.003
stereo,245,2,0.003
stand:kettle,249,2,0.003
dough:remaining,25,2,0.003
film:cucumber,100,2,0.003
spoonful:yoghurt,98,2,0.003
spoon:yeast,1,2,0.003
spoon:coffee,1,2,0.003
end:milk:bottle,15,2,0.003
tin:cocoa:powder,61,2,0.003
end:leek,117,2,0.003
bag:food:bin,19,2,0.003
almond:canned,244,2,0.003
wrapping:plastic,26,2,0.003
app,165,2,0.003
wire:kettle,204,2,0.003
drawer:spice,8,2,0.003
drawer:refrigerator,8,2,0.003
water:remaining,27,2,0.003
bag:bread:wrap,19,2,0.003
bag:breadcrumb,19,2,0.003
edge:carrot,41,2,0.003
waffle,175,2,0.003
ventilator,179,2,0.003
bag:fish,19,2,0.003
tupperware:oregano,23,2,0.003
tube,227,2,0.003
end:foil:paper,123,2,0.003
bag:ginger,19,2,0.003
trouser,73,2,0.003
tray:weight,35,2,0.003
bag:kitchen,19,2,0.003
bag:paddleboard,19,2,0.003
top:bread,33,2,0.003
end:aubergine,67,2,0.003
bag:plastic:trash,19,2,0.003
toothbrush,103,2,0.003
toast:melba,104,2,0.003
bag:toast:bread,19,2,0.003
tin:utensil,21,2,0.003
tin:tomato,61,2,0.003
tin:empty,61,2,0.003
bit:plastic,54,2,0.003
bit:processor,147,2,0.003
spice:thyme,215,2,0.003
rice:vegetable,55,2,0.003
bottle:vegetable:oil,15,2,0.003
door:cabinet,3,2,0.003
sauce:tahini,47,2,0.003
sauce:jarred,47,2,0.003
doneness:meat,28,2,0.003
bottom:spring:form,35,2,0.003
bottom:springform:tin,35,2,0.003
rug,52,2,0.003
root:galangal,131,2,0.003
root,210,2,0.003
roll:sesame,31,2,0.003
dispenser:soap,22,2,0.003
bowl:cooker,7,2,0.003
rim:jar,40,2,0.003
rice:cooked,55,2,0.003
door:dishwasher,70,2,0.003
bowl:egg,7,2,0.003
bowl:juicer,106,2,0.003
rest:ladle,109,2,0.003
remnant:salad,68,2,0.003
ramekin:coriander,7,2,0.003
bowl:mushroom,7,2,0.003
bowl:plastic,7,2,0.003
bowl:soup,7,2,0.003
puree:tomato,47,2,0.003
product,22,2,0.003
flow:tap,0,2,0.003
flower,75,2,0.003
box:cheese,23,2,0.003
box:cherry:tomato,23,2,0.003
flame:stove,24,2,0.003
sausage:quorn:cocktail,86,2,0.003
spice:mixed,85,2,0.003
doritos,229,2,0.003
blade:food:processor:chopping,147,2,0.003
soy,47,2,0.003
blind,263,2,0.003
socket,153,2,0.003
soap:dishwasher,22,2,0.003
block:tofu,81,2,0.003
slicer:onion,220,2,0.003
slice:tofu,81,2,0.003
dough:bread,25,2,0.003
sleeve,73,2,0.003
skin:squash,48,2,0.003
board:eating,84,2,0.003
skin:avocado,48,2,0.003
sink:empty,63,2,0.003
door:kitchen,295,2,0.003
scale:measuring,108,2,0.003
shirt,73,2,0.003
shelf:utensil,247,2,0.003
sheet:kitchen:roll,93,2,0.003
pad,18,2,0.003
sharpener,212,2,0.003
bottle:little,15,2,0.003
setting:oven,46,2,0.003
setting,124,2,0.003
seed:squash,122,2,0.003
bottle:nesquik,15,2,0.003
section:coffee:maker,50,2,0.003
bottle:pesto,15,2,0.003
door:freezer,113,2,0.003
scoop:coffee,59,2,0.003
bottle:liquid,15,2,0.003
portion:rennet:tablet,171,2,0.003
margarine,78,2,0.003
colander:soap,39,2,0.003
nozzle:coffee,50,2,0.003
net:rubber,84,2,0.003
mug:glass,13,2,0.003
mouse,288,2,0.003
motor:hand:blender,82,2,0.003
mop,103,2,0.003
closet,3,2,0.003
mixture:egg,71,2,0.003
mincemeat,28,2,0.003
middle:pepper,37,2,0.003
cylinder:paper,49,2,0.003
mezzaluna,4,2,0.003
mat:tea:place,84,2,0.003
container:coffee:ground,21,2,0.003
container:pasta,21,2,0.003
loaf,33,2,0.003
container:soap,21,2,0.003
container:tomato,21,2,0.003
lid:trash:bin,6,2,0.003
lid:steamer,6,2,0.003
ciabatta,33,2,0.003
chunk:rennet:tablet,171,2,0.003
oil:coconut,31,2,0.003
oil:more,31,2,0.003
package:powder,26,2,0.003
package:olive,26,2,0.003
catcher:sink,39,2,0.003
package:mixed:spice,26,2,0.003
package:honey,26,2,0.003
package:fajitas,26,2,0.003
package:cream,26,2,0.003
cd,298,2,0.003
package:butter,26,2,0.003
package:bacon,26,2,0.003
pack:tomato,26,2,0.003
pack:soup,26,2,0.003
pack:salad,26,2,0.003
oven:left,24,2,0.003
onion:remaining,16,2,0.003
onion:cut:spring,128,2,0.003
omelette:rolled,162,2,0.003
chopper:moon,4,2,0.003
oil:truffle,31,2,0.003
lid:scotch:egg:box,6,2,0.003
content:bowl,7,2,0.003
lid:pepper:container,6,2,0.003
cover:can,89,2,0.003
cover:microwave,89,2,0.003
cover:pen,89,2,0.003
jar:spicy:bean:paste,40,2,0.003
jar:salt,40,2,0.003
jar:pesto,40,2,0.003
heart:tomato,43,2,0.003
jar:chilli:flake,40,2,0.003
item:fridge,12,2,0.003
cream:ice,143,2,0.003
cream:milk,143,2,0.003
infuser,39,2,0.003
horse:clothes,285,2,0.003
hood,179,2,0.003
crumb:bread,271,2,0.003
holder:spoon,109,2,0.003
crumbles:chocolate,188,2,0.003
holder:cutlery,135,2,0.003
cube:butter,78,2,0.003
heat:cooker,65,2,0.003
cover:juicer,89,2,0.003
cucumber:chopped,72,2,0.003
lid:oil:container,6,2,0.003
cover:battery,89,2,0.003
lid:milk,118,2,0.003
cumin,236,2,0.003
lid:hummus:tub,6,2,0.003
lid:coffee:tin,6,2,0.003
lid:coffee:machine,6,2,0.003
lid:chopper,6,2,0.003
lid:bottle,118,2,0.003
lever:toaster,186,2,0.003
content:frying:pan,34,2,0.003
lemonade,283,2,0.003
content:plate,2,2,0.003
cucumber:cut,72,2,0.003
leaf:only:curry,62,2,0.003
leaf:more,62,2,0.003
cooker:steam,152,2,0.003
laundry,73,2,0.003
core:apple,187,2,0.003
handful:carrot,41,2,0.003
knife:wash,4,2,0.003
package:salt,26,2,0.003
pepper:cayenne,69,2,0.003
package:wrap,26,2,0.003
packet:yeast,26,2,0.003
packet:chicken,26,2,0.003
dal:urad,177,2,0.003
packaging:butter,26,2,0.003
packaging:iron,26,2,0.003
packet:broccoli,26,2,0.003
packet:beef,26,2,0.003
case:thermometer,23,2,0.003
packaging:open:meat,26,2,0.003
packet:bread,26,2,0.003
hamburger,139,1,0.001
lettuce:chopped,120,1,0.001
strip:coffee:bean:bag,19,1,0.001
strip:opening,26,1,0.001
strip:plastic,26,1,0.001
level:power,278,1,0.001
lengthways:cheese,32,1,0.001
stuff:chopping:board,54,1,0.001
bin:leftover:food,54,1,0.001
bean:kidney,214,1,0.001
content:mug,13,1,0.001
letter,49,1,0.001
beer:more,231,1,0.001
level:water,27,1,0.001
surface:cooking,42,1,0.001
surface:side,42,1,0.001
surface:mixture,42,1,0.001
pepper:more,37,1,0.001
strainer:tea:pot,39,1,0.001
draw,8,1,0.001
lid:blender,6,1,0.001
bit:dust,54,1,0.001
bit:dishwasher,70,1,0.001
bit:cucumber,72,1,0.001
game:board,23,1,0.001
lid:clip:top:jar,6,1,0.001
stock:leftover,95,1,0.001
lid:butter,6,1,0.001
half:second:lemon,105,1,0.001
carton:juice,26,1,0.001
lid:aeropress,6,1,0.001
bin:rolling,136,1,0.001
stove:electronic,24,1,0.001
stove:gas,24,1,0.001
bit:cheese,32,1,0.001
content:fridge,12,1,0.001
device:wooden,142,1,0.001
bit:butter,78,1,0.001
bit:bread,33,1,0.001
depth:water,27,1,0.001
bit:bell:pepper,37,1,0.001
packet:coffee,26,1,0.001
syrup,279,1,0.001
switch:light,92,1,0.001
temperature:curd,65,1,0.001
leaf:more:salad,62,1,0.001
packet:fishcake,26,1,0.001
bar:chocolate,265,1,0.001
teaspoon:honey,1,1,0.001
temp,65,1,0.001
cooker:flame,24,1,0.001
packet:granola,26,1,0.001
temperature:cast:iron:pan,65,1,0.001
leaf:choi,62,1,0.001
temperature:dishwasher,65,1,0.001
tarragon,62,1,0.001
cord:power,204,1,0.001
lead:kettle,204,1,0.001
temperature:liquid,65,1,0.001
lead,204,1,0.001
cap:olive:oil,118,1,0.001
end:spatula,20,1,0.001
lasagne,45,1,0.001
temperature:rice:cooker,65,1,0.001
temperature:tap,65,1,0.001
base:cake:container,35,1,0.001
cap:milk,118,1,0.001
switch:oil,31,1,0.001
hamper,168,1,0.001
syrup:cherry,279,1,0.001
leftover:egg,53,1,0.001
system:weighing,108,1,0.001
envelope:oregano,26,1,0.001
content:sink:strainer,54,1,0.001
table:round,42,1,0.001
basket:washing,168,1,0.001
content:tupperware,23,1,0.001
tablespoon:place,1,1,0.001
leaf:spring:onion,62,1,0.001
tap:hot,0,1,0.001
content:water:boiler,44,1,0.001
tableware,58,1,0.001
carrot:diced,41,1,0.001
tag,73,1,0.001
tag:top,73,1,0.001
tag:washing,73,1,0.001
cooker:electric,152,1,0.001
leaf:oregano,62,1,0.001
base:pie:dish,249,1,0.001
bit:food:processor,147,1,0.001
lid:food:bin,6,1,0.001
bit:garbage,54,1,0.001
lid:spice:container,6,1,0.001
part:tablet,171,1,0.001
spade:plastic,1,1,0.001
half:cherry:tomato,43,1,0.001
lid:sugar,6,1,0.001
spatula:sieve,20,1,0.001
bite,34,1,0.001
bit:white,194,1,0.001
packaging:salmon,26,1,0.001
spice:tamarind,85,1,0.001
spill,150,1,0.001
container:water,21,1,0.001
lid:sesame:oil,118,1,0.001
bit:sink,54,1,0.001
bit:salad,68,1,0.001
part:pot,29,1,0.001
sponge:cleaning,9,1,0.001
sponge:new,9,1,0.001
sponge:soap,9,1,0.001
lid:salt:container,6,1,0.001
packaging:stock,26,1,0.001
blender:coffee,50,1,0.001
source:power,24,1,0.001
lid:curry,6,1,0.001
soap:dish,22,1,0.001
slice:rolled:omelette,162,1,0.001
slice:tamagoyaki,162,1,0.001
line,161,1,0.001
lighting,114,1,0.001
blood,11,1,0.001
packaging:pod,26,1,0.001
slipper,73,1,0.001
light:oven,114,1,0.001
light:hob,114,1,0.001
container:tupperware,23,1,0.001
source:bean,148,1,0.001
soap:more,22,1,0.001
block,18,1,0.001
half:bread,33,1,0.001
soda,283,1,0.001
lid:water:jug,6,1,0.001
soil,38,1,0.001
sort:broccoli,101,1,0.001
lid:vinegar:bottle,118,1,0.001
soup:sauce,126,1,0.001
bit:pepper,37,1,0.001
spoon:mixture,71,1,0.001
spoon:napkin:yoghurt,88,1,0.001
stand:rack,249,1,0.001
bit:leaf,62,1,0.001
stack:sandwich,164,1,0.001
stack:tub,23,1,0.001
stain,39,1,0.001
film:butter,100,1,0.001
stalk:coriander,210,1,0.001
stalk:pepper,210,1,0.001
stand,249,1,0.001
lid:jug,6,1,0.001
part:coffee:pot,50,1,0.001
spoon:plastic,1,1,0.001
bit:hummus,181,1,0.001
lid:jam:jar,6,1,0.001
steak:chop,217,1,0.001
drain,63,1,0.001
lid:glass,6,1,0.001
stem:mint,210,1,0.001
lid:food:processor,6,1,0.001
file,49,1,0.001
temperature:watch,65,1,0.001
packaging:tomato,26,1,0.001
bit:meat,28,1,0.001
squash:more,116,1,0.001
lid:oil,118,1,0.001
spoon:second,1,1,0.001
spoon:sieve,1,1,0.001
dough:excess,25,1,0.001
spoon:soap,1,1,0.001
spoon:soup,1,1,0.001
lid:processor,6,1,0.001
content:box,23,1,0.001
spoon:wood,1,1,0.001
bit:pear,239,1,0.001
packaging:tenderstem:broccoli,26,1,0.001
lid:pepper,6,1,0.001
spout,258,1,0.001
content:cupboard,3,1,0.001
lid:oregano,6,1,0.001
spray:kitchen,22,1,0.001
lid:olive:oil,6,1,0.001
lid:olive,6,1,0.001
square:greaseproof:paper,49,1,0.001
part:onion:piece,16,1,0.001
lamp,114,1,0.001
cap:salt,118,1,0.001
packet:new,26,1,0.001
volume,245,1,0.001
egg:fried,53,1,0.001
packet:pepper,26,1,0.001
egg:breadcrumb,71,1,0.001
drawer:other,8,1,0.001
edge:paper,49,1,0.001
vinegar:chinese,134,1,0.001
vinegar:red:wine,134,1,0.001
bag:coconut,19,1,0.001
vinegar:wine,134,1,0.001
hummus:more,181,1,0.001
utensil:cooking,154,1,0.001
cream:remaining:ice,143,1,0.001
packet:popcorn,26,1,0.001
wash:water,27,1,0.001
hoover,225,1,0.001
bag:carrier,19,1,0.001
bag:capsule,19,1,0.001
hood:kitchen,179,1,0.001
garlic:dice,51,1,0.001
packet:potato,26,1,0.001
pan:cooker,5,1,0.001
bag:crisp,19,1,0.001
water:access,27,1,0.001
cracker:crushed,104,1,0.001
jambalaya,34,1,0.001
tshirt,73,1,0.001
item:kitchen,154,1,0.001
pan:dish:washing,7,1,0.001
iron:cast,5,1,0.001
tub:starter,23,1,0.001
bag:garbage,19,1,0.001
intensity:flame,24,1,0.001
tube:tube,227,1,0.001
bag:folded,19,1,0.001
underside:tuna:burger,139,1,0.001
bag:flower,19,1,0.001
inside:bread,33,1,0.001
tupperware:second,23,1,0.001
pan:cooking,5,1,0.001
turkey:sliced,287,1,0.001
bag:empty,19,1,0.001
tv,245,1,0.001
underside:bowl,7,1,0.001
underside:bread,33,1,0.001
crumb:rennet:tablet,171,1,0.001
water:boil,27,1,0.001
temperature:whey,65,1,0.001
wrapper:bacon,26,1,0.001
holder:bread:knife,135,1,0.001
driver:screw,154,1,0.001
holder,135,1,0.001
cube,95,1,0.001
wrap:bread,107,1,0.001
herb:other,62,1,0.001
wrap:meat,107,1,0.001
angle:blade,4,1,0.001
aluminium,123,1,0.001
wrapper:cheese,26,1,0.001
crust:bread,33,1,0.001
wrapper:oil,26,1,0.001
wrapping,26,1,0.001
wrapping:butter,26,1,0.001
height:oven,46,1,0.001
yeast:can,61,1,0.001
heater:right,267,1,0.001
packing,26,1,0.001
heat:right,65,1,0.001
yolk:egg,53,1,0.001
drum,57,1,0.001
drum:measuring,66,1,0.001
water:boiled,27,1,0.001
water:pot,27,1,0.001
water:boiling,27,1,0.001
holder:tablet,135,1,0.001
water:coriander,27,1,0.001
water:dirty,27,1,0.001
packet:sausage,26,1,0.001
water:filtered,27,1,0.001
crumbles,271,1,0.001
water:kettle,27,1,0.001
drawer:oven,46,1,0.001
garlic:sliced,51,1,0.001
pair:chopstick,80,1,0.001
water:salt,27,1,0.001
bag:bread:plastic,19,1,0.001
water:tap:cover:sink,27,1,0.001
crust,33,1,0.001
water:warm,27,1,0.001
holder:dishwasher:glass,135,1,0.001
holder:dishwasher:cutlery,135,1,0.001
whey:spilt,150,1,0.001
bag:apple,19,1,0.001
cover:thermometer,89,1,0.001
trimming,48,1,0.001
tree:mug,249,1,0.001
tomato:chop,43,1,0.001
counter:sink,63,1,0.001
tiramisu,175,1,0.001
kitkat,188,1,0.001
bag:sweetcorn,19,1,0.001
kettle:electronic,44,1,0.001
cap:sauce,118,1,0.001
bag:spice:plastic,19,1,0.001
handle:knife,4,1,0.001
device:cutting,220,1,0.001
bag:salt,19,1,0.001
corn:salt,125,1,0.001
tomato:fifth,43,1,0.001
tomato:fourth,43,1,0.001
tomato:other,43,1,0.001
cover:bottom,6,1,0.001
tomato:second,43,1,0.001
tomato:seventh,43,1,0.001
tomato:sixth,43,1,0.001
end:chilli,69,1,0.001
tomato:third,43,1,0.001
handle:frying:pan,191,1,0.001
tin:teabag,61,1,0.001
pan:first,5,1,0.001
bag:tortilla,19,1,0.001
board:chipping,18,1,0.001
ball:flour,7,1,0.001
thumb,11,1,0.001
balance,108,1,0.001
tile,242,1,0.001
tile:floor,159,1,0.001
bag:trash,19,1,0.001
knot,204,1,0.001
bag:tortilla:plastic,19,1,0.001
bag:tomato,19,1,0.001
tin:spring:form,35,1,0.001
knob:heat,190,1,0.001
tin:cake,35,1,0.001
core:pepper,37,1,0.001
pancake:oat,184,1,0.001
knife:teaspoon:fork,1,1,0.001
knife:spreading,4,1,0.001
corkscrew,174,1,0.001
handle:drawer,191,1,0.001
tin:mug,61,1,0.001
packet:open:sausage,26,1,0.001
bag:potato,19,1,0.001
juice:orange,183,1,0.001
drawer:open,8,1,0.001
jar:spicy:bean:sauce,40,1,0.001
bag:nut,19,1,0.001
pan:grill,5,1,0.001
towel:second,52,1,0.001
jar:sauce,40,1,0.001
bag:mesh,19,1,0.001
pan:garlic,5,1,0.001
cap:vinegar,118,1,0.001
bag:herb,19,1,0.001
tray:falling,35,1,0.001
juice:lime,183,1,0.001
pan:fry,5,1,0.001
tray:grill,35,1,0.001
jar:pasta:sauce,40,1,0.001
jar:olive,40,1,0.001
bag:grocery,19,1,0.001
cover:salt,6,1,0.001
egg:second,53,1,0.001
jar:coffee,40,1,0.001
jar:coconut,40,1,0.001
pan:hob,5,1,0.001
jar:tahini,40,1,0.001
bag:open:pine:nut,19,1,0.001
eggshell:little,141,1,0.001
handle:wok,191,1,0.001
cover:hob,89,1,0.001
top:burner,24,1,0.001
pan:pizza,5,1,0.001
top:clip,129,1,0.001
top:clip:top:jar,40,1,0.001
packet:open:tofu,26,1,0.001
top:fridge,12,1,0.001
hat,73,1,0.001
top:milk:bottle,15,1,0.001
top:onion,16,1,0.001
top:oven,46,1,0.001
top:pan,5,1,0.001
top:pepper,37,1,0.001
top:pizza,91,1,0.001
top:plastic:bin,36,1,0.001
top:rice:bag,19,1,0.001
head,292,1,0.001
element:rice:cooker:heating,152,1,0.001
blueberry:opening,178,1,0.001
liquid:laundry,22,1,0.001
slice:pineapple,281,1,0.001
onion:new,16,1,0.001
cherry:frozen,257,1,0.001
onion:sliced,16,1,0.001
pot:spaghetti,29,1,0.001
box:folding,23,1,0.001
dish:tortilla,2,1,0.001
pot:third,29,1,0.001
pot:top,29,1,0.001
packaging:cream:cheese,26,1,0.001
onion:open,16,1,0.001
onion:half,16,1,0.001
pot:salt,29,1,0.001
onion:few,16,1,0.001
onion:excess,16,1,0.001
box:empty,23,1,0.001
box:coffee,23,1,0.001
onion:diced,16,1,0.001
dish:meat,2,1,0.001
gown:dressing,73,1,0.001
dishrag,17,1,0.001
chopper:half:moon,4,1,0.001
curd:salted:bean,81,1,0.001
cheese:remaining,32,1,0.001
peel:melon,48,1,0.001
pot:food,29,1,0.001
position:box,23,1,0.001
position:pot,29,1,0.001
position:tonic:water:bottle,15,1,0.001
position:tray,35,1,0.001
glaze,47,1,0.001
pack:bin:cheese,26,1,0.001
box:ice:cream,23,1,0.001
cut:cold,156,1,0.001
curry:potato,121,1,0.001
pot:hob,29,1,0.001
pot:rice:cooker,29,1,0.001
over:left,54,1,0.001
pot:kiwi,29,1,0.001
pot:left,29,1,0.001
food:burned,34,1,0.001
peel:potato,48,1,0.001
pot:other,29,1,0.001
pot:pasta,29,1,0.001
cheese:more,32,1,0.001
cheese:open,32,1,0.001
powder:coconut:milk,138,1,0.001
powder:dishing,138,1,0.001
partition:dough,25,1,0.001
rag:cloth,17,1,0.001
bowl:several,7,1,0.001
rack:draining,110,1,0.001
rack:dry,110,1,0.001
grain:rice,55,1,0.001
chunk:pear,239,1,0.001
packaging:fishcake,26,1,0.001
rack:tray,110,1,0.001
packaging:green:bean,26,1,0.001
curd:cooked:bean,81,1,0.001
flour:more,75,1,0.001
chunk:carrot,41,1,0.001
bowl:onion,7,1,0.001
raisin:more,200,1,0.001
cupboard:strainer,39,1,0.001
number:hob,24,1,0.001
number:bean:curd:source,81,1,0.001
butter:remaining,78,1,0.001
flour:extra,75,1,0.001
recipe:yeast,149,1,0.001
recycling,54,1,0.001
flour:plain,75,1,0.001
butter:more,78,1,0.001
omelette:egg,162,1,0.001
pressure:water,27,1,0.001
dishwater,70,1,0.001
frittata,162,1,0.001
omelet,162,1,0.001
olive:own,83,1,0.001
choppings:carrot,41,1,0.001
box:blueberry,23,1,0.001
press:panini,24,1,0.001
peel:garlic,48,1,0.001
box:blender,23,1,0.001
price,69,1,0.001
oil:fish,31,1,0.001
bowl:yoghurt,7,1,0.001
choppings:onion,16,1,0.001
chopstick:fork,80,1,0.001
bowl:tomato,7,1,0.001
prosciutto,156,1,0.001
protector:wall,242,1,0.001
punnet,26,1,0.001
punnet:raspberry,284,1,0.001
packaging:cucumber,26,1,0.001
cylinder:measuring,66,1,0.001
porridge,127,1,0.001
pack:cookie,26,1,0.001
package:lettuce,26,1,0.001
broccoli:pour,101,1,0.001
package:pak:choi,26,1,0.001
fork:paper,14,1,0.001
breast:turkey,287,1,0.001
package:oat,26,1,0.001
burger,139,1,0.001
burger:chicken,139,1,0.001
piece:kitchen:roll,93,1,0.001
package:meat,26,1,0.001
package:kale,26,1,0.001
broccoli:stem,101,1,0.001
fork:napkin,88,1,0.001
bread:packing,26,1,0.001
fork:knife,4,1,0.001
piece:omelette,162,1,0.001
glass:other,10,1,0.001
dish:tomato,43,1,0.001
food:residual,54,1,0.001
dal:chana,177,1,0.001
box:water,23,1,0.001
fork:spoon,1,1,0.001
package:paprika,26,1,0.001
pack:egg,26,1,0.001
piece:aluminium:foil,123,1,0.001
peppercorn,37,1,0.001
package:softener,26,1,0.001
fragment:cabbage,224,1,0.001
pepper:hot,69,1,0.001
pesto:cheese,32,1,0.001
package:sauce,26,1,0.001
package:tortilla,26,1,0.001
pico,47,1,0.001
bucket:rice:cooker,7,1,0.001
glass:blueberry,10,1,0.001
glass:orange:juice,10,1,0.001
package:quorn,26,1,0.001
glass:milk,10,1,0.001
glass:new,10,1,0.001
piece:cabbage,224,1,0.001
fork:wash,14,1,0.001
piece:cheese,32,1,0.001
package:pizza,26,1,0.001
broth,95,1,0.001
casserole,35,1,0.001
box:washing:powder,23,1,0.001
food:remaining,34,1,0.001
food:more,34,1,0.001
packaging:corn,26,1,0.001
box:pasta,23,1,0.001
plate:broccoli,2,1,0.001
plate:cutting,18,1,0.001
centre:tomato,43,1,0.001
plate:new,2,1,0.001
plate:nut,2,1,0.001
plate:paper,2,1,0.001
box:olive,23,1,0.001
