verb,noun,count,percentage
put-onto,piece:pizza,4,0.005
put,utensil,4,0.005
dry,v60,4,0.005
put,sauce,4,0.005
dry,top,4,0.005
remove-from,onion,4,0.005
put,salmon,4,0.005
dry,teaspoon,4,0.005
put,powder:turmeric,4,0.005
scoop,thyme,4,0.005
remove-from,skin,4,0.005
drain,saucepan,4,0.005
drain,sink,4,0.005
insert,carafe,4,0.005
close,box:salt,4,0.005
rest-on,spoon:wooden,4,0.005
take,lentil,4,0.005
put,paste:garlic,4,0.005
rinse,basket,4,0.005
hold-with,curd:cheese,4,0.005
remove-from,content,4,0.005
remove,water,4,0.005
take,holder:pot,4,0.005
remove,onion,4,0.005
remove,packaging:pizza,4,0.005
hold,tub,4,0.005
take,ham,4,0.005
remove,paper,4,0.005
remove,pasta,4,0.005
scoop-out,salt,4,0.005
put,stock,4,0.005
put,soap,4,0.005
eat,cheese,4,0.005
drain,pot,4,0.005
drain,rice,4,0.005
close,coffee,4,0.005
close,clip,4,0.005
close,cereal,4,0.005
remove,tomato:sun:dried,4,0.005
put,onion:spring,4,0.005
rinse,blender,4,0.005
scoop,sugar,4,0.005
dry,board,4,0.005
put,chopstick,4,0.005
take,skin:carrot,4,0.005
put,chilli,4,0.005
lather,pitcher,4,0.005
dry,bowl:rice:cooker,4,0.005
lather,saucepan,4,0.005
put,cheese,4,0.005
clean,wall,4,0.005
clean-with,desk,4,0.005
rinse,leek,4,0.005
rinse,piece:salad:spinner,4,0.005
take,stock,4,0.005
lather,utensil,4,0.005
put,broccoli:tenderstem,4,0.005
lay,aubergine,4,0.005
rinse,pan:baking,4,0.005
dry,cup,4,0.005
lather,filter,4,0.005
close,bottle:sauce,4,0.005
take,pan:frying,4,0.005
rinse,block:chopping,4,0.005
put,lime,4,0.005
take,pack:chicken,4,0.005
put,leaf,4,0.005
take,packet:cookie,4,0.005
rinse,box,4,0.005
put,herb,4,0.005
close,bag:pasta,4,0.005
rinse,glove:rubber,4,0.005
roll-up,bag,4,0.005
juice,half:lemon,4,0.005
rip-off,skin,4,0.005
rinse,top,4,0.005
rinse,glass:wine,4,0.005
take,plate:pasta,4,0.005
take,powder:turmeric,4,0.005
take,glove,4,0.005
close,butter,4,0.005
cut,mango,4,0.005
remove,blade:chopping,4,0.005
take,filter:coffee,4,0.005
empty,carafe,4,0.005
put-down,ball:dough,4,0.005
drain,cup,4,0.005
remove,artichoke,4,0.005
put-down,bowl:food:processor,4,0.005
close,door:fridge,4,0.005
close,flour,4,0.005
put-down,booklet:instruction,4,0.005
hold,glass,4,0.005
remove,grill,4,0.005
hit-with,garlic,4,0.005
scour,spatula,4,0.005
hold,kettle,4,0.005
put-down,aeropress,4,0.005
remove,film:cling,4,0.005
put-under,bowl,4,0.005
put-down,blackberry,4,0.005
hit,garlic,4,0.005
put-away,mat:place,4,0.005
eat,pepper,4,0.005
empty,cafetiere,4,0.005
scour,board:chopping,4,0.005
scrape,bowl,4,0.005
pick-up,granola,3,0.004
shake-off,spoon,3,0.004
rinse,tin,3,0.004
rotate,pizza,3,0.004
shake-into,salt,3,0.004
scrape,broccoli,3,0.004
pick-up,holder:napkin,3,0.004
wash,pin:rolling,3,0.004
rub-on,salt,3,0.004
rinse,teapot,3,0.004
shake-off,salmon,3,0.004
open,oil:sesame,3,0.004
wash,pestle,3,0.004
wipe-of,hand,3,0.004
rinse,grape,3,0.004
rinse,table,3,0.004
scrape-off,garlic,3,0.004
rinse,grid,3,0.004
turn-on,top:stove,3,0.004
scoop,leaf:tea,3,0.004
pick-up,instruction,3,0.004
pick-up,bag:cheese,3,0.004
open,mozzarella,3,0.004
shape-into,patty,3,0.004
rotate,paper:greaseproof,3,0.004
put-with,plate,3,0.004
pick-up,herb,3,0.004
wash,pot:coffee,3,0.004
rinse,chicken,3,0.004
pick-up,bit:food,3,0.004
scrape-off,dough,3,0.004
roll,bag:flour,3,0.004
turn-on,lid,3,0.004
turn-on,hob:induction,3,0.004
pick-up,grid:hob,3,0.004
put-into,dustpan,3,0.004
open,package:chicken,3,0.004
shake,mug,3,0.004
rinse-off,pot,3,0.004
open,pack:tortilla,3,0.004
roll,cylinder,3,0.004
rotate,filter,3,0.004
pick-up,jar:pepper,3,0.004
turn-on,heater,3,0.004
shake,mould:ring:cake,3,0.004
shake,potato,3,0.004
put-into,jug:water,3,0.004
rinse,cutter:pizza,3,0.004
pick-up,ginger,3,0.004
rinse-off,block:chopping,3,0.004
rinse,finger,3,0.004
put-into,dough,3,0.004
sharpen,side:blade,3,0.004
turn-on,dishwasher,3,0.004
put-over,film:cling,3,0.004
put-in,strainer,3,0.004
put-in,toaster,3,0.004
rinse,pot:coffee,3,0.004
rinse,pitcher,3,0.004
put-in,thermometer,3,0.004
turn-off,heater,3,0.004
open,light,3,0.004
slice,lettuce,3,0.004
open,lid:saucepan,3,0.004
put-in,teapot,3,0.004
put-in,tablespoon,3,0.004
put-in,supplement,3,0.004
slice,paneer,3,0.004
pick-up,lid:yoghurt,3,0.004
open,ladder,3,0.004
scrape,knife,3,0.004
slice,ginger,3,0.004
rinse,onion,3,0.004
zero,scale,3,0.004
put-in,stick:bread,3,0.004
wash,onion:spring,3,0.004
put-onto,saucepan,3,0.004
turn,tray,3,0.004
rinse,pepper:bell,3,0.004
pick-up,mat:sushi,3,0.004
scrape,chilli,3,0.004
put-in,skin:onion,3,0.004
open,jar:honey,3,0.004
put-in,skin:fish,3,0.004
wash,opener:can,3,0.004
turn,tin,3,0.004
turn-off,microwave,3,0.004
scrape,rice,3,0.004
wipe-off,tomato,3,0.004
put-into,bag:plastic,3,0.004
put-into,carrot,3,0.004
shovel-up,carrot,3,0.004
put-into,cafetiere,3,0.004
put-into,board:chopping,3,0.004
open,milk:soy,3,0.004
shovel-up,garlic:smashed,3,0.004
rinse,strainer:tea,3,0.004
put-into,beer,3,0.004
rinse,strainer:sink,3,0.004
pick-up,bean:coffee,3,0.004
wipe-on,finger,3,0.004
put-into,bean:green,3,0.004
put-into,bag:tea,3,0.004
turn-off,water:tap,3,0.004
pick-up,battery,3,0.004
put-onto,cup,3,0.004
rinse,jar:clip:top,3,0.004
put-on,yoghurt,3,0.004
rinse,rice,3,0.004
sieve,flour,3,0.004
put-onto,spoon,3,0.004
wash,pan:baking,3,0.004
slice,celery,3,0.004
rinse,presser:garlic,3,0.004
put-in,vegetable,3,0.004
rinse,knife:mincing,3,0.004
put-in,tray:steamer,3,0.004
pick-up,bag:pistachio,3,0.004
put-in,towel,3,0.004
wipe-on,hand,3,0.004
wipe,pan:frying,3,0.004
peel,avocado,3,0.004
put-into,machine:coffee,3,0.004
pick-up,cheese:parmesan,3,0.004
wash,box,3,0.004
put-on,film:cling,3,0.004
search,onion,3,0.004
put-on,piece:salad:spinner,3,0.004
wash,bowl:salad,3,0.004
put-on,desk,3,0.004
pick-up,capsule,3,0.004
pick-up,capsule:coffee,3,0.004
put-on,cookie,3,0.004
remove,holder:coffee,3,0.004
search-for,cabinet,3,0.004
open,tuna,3,0.004
wash,bean:green,3,0.004
search-for,knife,3,0.004
remove,tomato,3,0.004
scrape-off,knife,3,0.004
remove,garbage,3,0.004
walk,sink,3,0.004
remove,tray:oven,3,0.004
screw-onto,lid,3,0.004
remove-from,breast:chicken,3,0.004
wait-for,sausage,3,0.004
search-in,drawer,3,0.004
separate,clove:garlic,3,0.004
wait-for,rice,3,0.004
put-on,cereal,3,0.004
pick-up,cleaner,3,0.004
open,tomato:sun:dried,3,0.004
open,tomato:chopped,3,0.004
put-on,butter,3,0.004
remove,spoon,3,0.004
scoop,whey,3,0.004
search,oil:olive,3,0.004
remove,leftover,3,0.004
remove,lid:pan,3,0.004
wash,cup:measuring,3,0.004
wash,tub:tupperware,3,0.004
put-on,meat:minced,3,0.004
scrub,piece:salad:spinner,3,0.004
open-on,lid,3,0.004
open,yogurt,3,0.004
put-on,lid:tupperware,3,0.004
put-on,mozzarella,3,0.004
open,yeast,3,0.004
pick-up,box:meat,3,0.004
put-on,lid:rice:cooker,3,0.004
put-on,lemon,3,0.004
wash,tray,3,0.004
scrub,spatula,3,0.004
peel,clove:garlic,3,0.004
peel,dough,3,0.004
put-on,jam,3,0.004
wash,tongs,3,0.004
put-on,ham,3,0.004
scrub,teapot,3,0.004
seal,bag,3,0.004
remove,leftover:food,3,0.004
remove,plug,3,0.004
remove,pod:coffee,3,0.004
wash,water,3,0.004
put-on,garlic,3,0.004
wash,can,3,0.004
wash,tap,3,0.004
put-on,box,3,0.004
pick-up,cloth:dish,3,0.004
serve,food,3,0.004
screw,lid,3,0.004
put-into,scissors,3,0.004
remove-inside,pepper,3,0.004
put-into,refrigerator,3,0.004
remove-off,scale,3,0.004
pick-up,edge:dough,3,0.004
turn-over,scale,3,0.004
put-on,slice:bread,3,0.004
pick-up,eggshell,3,0.004
return,tray,3,0.004
rifle-through,content:drawer,3,0.004
wipe,glass,3,0.004
rinse,apple,3,0.004
wash,juicer:lime,3,0.004
scour,tin,3,0.004
put-into,piece:cucumber,3,0.004
open,paprika,3,0.004
put-into,paper:filter,3,0.004
scour,tray:baking,3,0.004
put-into,packaging,3,0.004
rearrange,piece:broccoli,3,0.004
put-into,mushroom,3,0.004
pick-up,foil,3,0.004
pick,herb,3,0.004
pat-down,omelette,3,0.004
put-on,sock,3,0.004
turn-on,water:tap,3,0.004
rinse,blueberry,3,0.004
scoop,liquid,3,0.004
put-on,spaghetti,3,0.004
shake,bag:flour,3,0.004
remove-from,slice:potato,3,0.004
open,tin,3,0.004
remove-from,seal,3,0.004
put-on,reduction:balsamic,3,0.004
remove-from,food,3,0.004
put-on,board,3,0.004
wash-with,knife,3,0.004
put-on,belly:pork,3,0.004
wash-with,spatula,3,0.004
pick-up,container:food,3,0.004
set,microwave,3,0.004
pick-up,container:stock,3,0.004
pick-up,cooker:rice,3,0.004
put-into,water:more,3,0.004
unroll,paper:foil,3,0.004
remove,container,3,0.004
remove-from,leaf,3,0.004
set-on,timer,3,0.004
pick-up,cube:stock,3,0.004
remove,coffee,3,0.004
unplug,microwave,3,0.004
pick-up,cup:measuring,3,0.004
remove,bottom:leek,3,0.004
pick-up,bag:sugar,3,0.004
pick-up,cutter:pizza,3,0.004
open,sachet,3,0.004
unfold,cloth:table,3,0.004
wash,holder:teabag,3,0.004
remove,board:cutting,3,0.004
remove-from,plate,3,0.004
put-into,sponge,3,0.004
wash,jar,3,0.004
read,temperature,3,0.004
take,teaspoon,3,0.004
put-in,scale,3,0.004
pour-from,pasta,3,0.004
take,dressing,3,0.004
pour-from,mixture,3,0.004
take,drawer,3,0.004
put-away,sauce:soy,3,0.004
take-out,dumpling,3,0.004
put-away,scissors,3,0.004
pour,yoghurt,3,0.004
pour,wine,3,0.004
take,dog:hot,3,0.004
pour,vinegar,3,0.004
put-down,bag:bread,3,0.004
put-down,bagel,3,0.004
take-out,jug:measuring,3,0.004
put-down,banana,3,0.004
put-down,base:pizza,3,0.004
put-down,battery,3,0.004
put-down,bit:potato,3,0.004
put-down,blade,3,0.004
put-down,blade:chopping,3,0.004
put-down,blender,3,0.004
take,cupboard,3,0.004
take-out,dough,3,0.004
pour-from,pistachio,3,0.004
put-in,sauce:fish,3,0.004
pour-from,salt,3,0.004
pour-in,sugar,3,0.004
put,tablecloth,3,0.004
put,teapot,3,0.004
pour-in,pesto,3,0.004
put,thigh:chicken,3,0.004
pour-in,onion,3,0.004
put,tin,3,0.004
put,tongs,3,0.004
take,grape,3,0.004
pour-in,liquid,3,0.004
pour-in,egg,3,0.004
take,garbage,3,0.004
pour-from,yoghurt,3,0.004
put-away,bowl,3,0.004
take-out,cob:corn,3,0.004
pour-from,thyme,3,0.004
put-away,bread,3,0.004
pour-from,sugar,3,0.004
take-out,courgette,3,0.004
take-out,dish:oven,3,0.004
pour-from,sauce,3,0.004
pour,potato,3,0.004
take,cover:plastic,3,0.004
pour,onion,3,0.004
take-out,mug,3,0.004
put-down,caper,3,0.004
take,celery,3,0.004
put-down,cob:corn,3,0.004
place-on,grape,3,0.004
take,box:carrot,3,0.004
take,box:breadstick,3,0.004
place-on,bread,3,0.004
place-on,bowl:sugar,3,0.004
put-down,container:salt,3,0.004
place-on,board:serving,3,0.004
put-down,container:spice,3,0.004
take,bit:food,3,0.004
take,bag:tea,3,0.004
place-in,plate,3,0.004
place-in,mug,3,0.004
take,bag:packing,3,0.004
put-down,dish:oven,3,0.004
take,bag:flour,3,0.004
put-down,film,3,0.004
take,bag:coffee,3,0.004
place-in,cup,3,0.004
take-out,salmon,3,0.004
take-out,rice,3,0.004
place-on,tomato,3,0.004
pour,herb,3,0.004
take-out,oil,3,0.004
take-out,olive,3,0.004
pour,milk:soy,3,0.004
take,cookie,3,0.004
take-out,pasta,3,0.004
put-down,bottle:soy:sauce,3,0.004
pour,liquid,3,0.004
pour,lentil,3,0.004
pour,kettle,3,0.004
take,clip,3,0.004
place-on,tortilla,3,0.004
put-down,box:meat,3,0.004
put-down,bun:bao,3,0.004
put-down,bun:steamed,3,0.004
pour,bottle,3,0.004
put-down,bundle,3,0.004
take,choi:pak,3,0.004
pour,bacon,3,0.004
take-out,pot,3,0.004
place-onto,potato,3,0.004
put,squeezer:lime,3,0.004
pour-into,bean,3,0.004
put,spray:cleaning,3,0.004
take,paper:baking,3,0.004
pull-out,drawer:freezer,3,0.004
take,sauce:tomato,3,0.004
put,corn:sweet,3,0.004
take,raisin,3,0.004
pull-off,film:cling,3,0.004
pull-off,dish:oven,3,0.004
pull-down,tablecloth,3,0.004
take,rack:oven,3,0.004
put,cup:small,3,0.004
take,piece:cucumber,3,0.004
take,yeast,3,0.004
take,paprika,3,0.004
put,egg,3,0.004
pull,dough,3,0.004
put,filter,3,0.004
pull,chunk:dough,3,0.004
press-onto,orange:half,3,0.004
press-onto,orange,3,0.004
press-onto,meat,3,0.004
take-from,bowl,3,0.004
put,flour,3,0.004
pull-out,plug,3,0.004
pull-through,spatula,3,0.004
put,cloth:table,3,0.004
put,biscuit,3,0.004
put,box:cereal,3,0.004
take,teapot,3,0.004
take,tortellini,3,0.004
take,tray:baking,3,0.004
take,tray:plastic,3,0.004
put,board,3,0.004
put,blueberry,3,0.004
put,block:chopping,3,0.004
put,blade:chopping,3,0.004
take,squeezer:lime,3,0.004
take,seed:mustard,3,0.004
put,bag:coffee,3,0.004
take,soap,3,0.004
put,cereal,3,0.004
push-down,kale,3,0.004
push-down,aeropress,3,0.004
take,slice:cheese,3,0.004
push,drawer:dishwasher,3,0.004
take,skin:potato,3,0.004
push,container,3,0.004
put,garlic:smashed,3,0.004
take-from,breadstick,3,0.004
take,hummus,3,0.004
take-from,container,3,0.004
pour-into,sauce:soy,3,0.004
pour-into,sauce,3,0.004
take-from,towel:tea,3,0.004
put,rack:drying,3,0.004
pour-into,pepper,3,0.004
take-from,tray,3,0.004
pour-into,oregano,3,0.004
take,jeera,3,0.004
take-off,glove:oven,3,0.004
take-off,sheath,3,0.004
put,seed:mustard,3,0.004
pour-into,nut:pine,3,0.004
pour-into,noodle,3,0.004
pour-into,mushroom,3,0.004
take-off,slice:butter,3,0.004
put,silverware,3,0.004
pour-into,liquid,3,0.004
put,slicer,3,0.004
pour-into,kale,3,0.004
take-off,tofu,3,0.004
pour-into,egg,3,0.004
pour-into,soup,3,0.004
put,potato,3,0.004
put,pot:coffee,3,0.004
take,machine:coffee,3,0.004
press,cylinder,3,0.004
put,honey,3,0.004
put,jam,3,0.004
pour-out,pot,3,0.004
take,package:salad,3,0.004
pour-onto,potato,3,0.004
pour-onto,plate,3,0.004
take,nutella,3,0.004
take-from,pack:tea,3,0.004
put,packet,3,0.004
take,leaf,3,0.004
put,parsley,3,0.004
pour-on,sauce,3,0.004
put,peeler,3,0.004
take,lettuce,3,0.004
pour-into,water:hot,3,0.004
pour-into,water:cold,3,0.004
put,piece:broccoli,3,0.004
put,plug,3,0.004
take-from,teabag,3,0.004
take-out,tupperware,3,0.004
place-in,bottle,3,0.004
take-out,wrap,3,0.004
spoon,meat,3,0.004
pick-up,pot:small,3,0.004
spray,product:cleaning,3,0.004
put-in,chocolate,3,0.004
spray,hob,3,0.004
pick-up,plate:scale,3,0.004
spoon-into,granule,3,0.004
tie,apron,3,0.004
put-in,cube:ice,3,0.004
pick-up,piece:salad:spinner,3,0.004
take,tofu,3,0.004
put-in,dish:oven,3,0.004
spoon,spice,3,0.004
pick-up,piece:meat,3,0.004
spoon,sauce:spicy:bean,3,0.004
pick-up,piece:chocolate,3,0.004
put-in,drink:almond,3,0.004
tilt,pan,3,0.004
put-in,eggshell,3,0.004
put-in,fish,3,0.004
spoon,pesto,3,0.004
put-in,fraiche:creme,3,0.004
put-in,carton:egg,3,0.004
put-in,capsule,3,0.004
put-in,brush:pastry,3,0.004
pick-up,rind:lemon,3,0.004
put-down,tuna,3,0.004
squeeze,bag:plastic,3,0.004
put-down,turmeric,3,0.004
throw-away,courgette,3,0.004
throw-away,napkin,3,0.004
pick-up,rusk,3,0.004
throw-away,scrap,3,0.004
squash,clove:garlic,3,0.004
put-down,wrap:plastic,3,0.004
throw-in,plastic,3,0.004
spread,tomato,3,0.004
put-in,blender,3,0.004
throw-into,plastic,3,0.004
sprinkle,herb,3,0.004
put-in,bottle:milk,3,0.004
put-in,bottle:tonic:water,3,0.004
put-in,bottle:water,3,0.004
put-in,bowl:rice:cooker,3,0.004
pick-up,press:garlic,3,0.004
spread-on,flour,3,0.004
spoon,mixture,3,0.004
spoon,blueberry,3,0.004
throw,tissue,3,0.004
put-in,ground:coffee,3,0.004
pick-up,oven,3,0.004
pick-up,oregano,3,0.004
soap,pan,3,0.004
turn,cheese,3,0.004
put-in,piece:chocolate,3,0.004
turn,corncob,3,0.004
soap,cup:coffee,3,0.004
put-in,plug,3,0.004
soak,pan,3,0.004
pick-up,nutella,3,0.004
pick-up,nut:pine,3,0.004
smell,starter,3,0.004
pick-up,nesquik,3,0.004
turn,mat:table,3,0.004
turn,omelette,3,0.004
turn,pan,3,0.004
put-in,presser:garlic,3,0.004
slide-into,belly:pork,3,0.004
slide,bread,3,0.004
pick-up,mocha,3,0.004
turn,switch,3,0.004
pick-up,package:fish:finger,3,0.004
put-in,parsley,3,0.004
pick-up,package:hot:dog,3,0.004
transfer-into,food,3,0.004
pick-up,peanut,3,0.004
toss,salad,3,0.004
put-in,ham,3,0.004
pick-up,paste:miso,3,0.004
put-in,jar:spice,3,0.004
pick-up,parmesan,3,0.004
put-in,leaf,3,0.004
pick-up,paper:baking,3,0.004
pick-up,paneer,3,0.004
transfer-to,spoon,3,0.004
put-in,pan:cast:iron,3,0.004
trim,thigh:chicken,3,0.004
pick-up,pan:cake,3,0.004
pick-up,pan:baking,3,0.004
sponge,grater,3,0.004
pick-up,packet:coriander,3,0.004
put-in,olive,3,0.004
sponge,cover,3,0.004
turn,bread,3,0.004
pick-up,package:potato,3,0.004
put-down,trivet,3,0.004
throw,stirrer:wooden,3,0.004
take,apple,3,0.004
pick-up,tin:condensed:milk,3,0.004
put-down,moka,3,0.004
tear-off,floret,3,0.004
pick-up,vinegar:rice,3,0.004
tear-out,banana,3,0.004
pick-up,tupperware:butter,3,0.004
pick-up,tub:butter,3,0.004
put-down,oil:sesame,3,0.004
pick-up,trivet,3,0.004
pick-up,tray:second,3,0.004
stir,starter,3,0.004
test,potato,3,0.004
test,rice,3,0.004
put-down,orange,3,0.004
stir,spatula,3,0.004
throw,bag:mozzarella,3,0.004
throw,bag:plastic,3,0.004
pick-up,top,3,0.004
pick-up,toothpick,3,0.004
put-down,package:pasta,3,0.004
stir,salt,3,0.004
stir,pea,3,0.004
put-down,mitt:oven,3,0.004
tear,foil:aluminium,3,0.004
stir-in,soup,3,0.004
put-down,knife:bread,3,0.004
place,scissors,3,0.004
put-down,gin,3,0.004
put-down,grid:hob,3,0.004
tap-against,fork,3,0.004
put-down,ham,3,0.004
switch-off,light,3,0.004
tap-on,spatula,3,0.004
put-down,jar:sugar,3,0.004
submerge,spoon,3,0.004
submerge,spatula,3,0.004
stir-in,thigh:chicken,3,0.004
put-down,knife:paring,3,0.004
submerge,board:chopping,3,0.004
taste,soup,3,0.004
put-down,lid:pot,3,0.004
place,cloth,3,0.004
store,glass,3,0.004
stir-with,piece:meat,3,0.004
stir-with,chopstick,3,0.004
stir-on,food,3,0.004
put-down,paper:baking,3,0.004
put-down,parmesan,3,0.004
put-down,tray:oven,3,0.004
pick-up,timer,3,0.004
put-down,scoop,3,0.004
put-down,sharpener:knife,3,0.004
throw,peel:banana,3,0.004
step-off,ladder,3,0.004
steam,bun,3,0.004
start,hob,3,0.004
stack,saucepan,3,0.004
throw,peeling,3,0.004
pick-up,slicer,3,0.004
stab,cake,3,0.004
pick-up,skin:potato,3,0.004
squidge,content:bag,3,0.004
squeeze-out,water,3,0.004
squeeze-onto,detergent,3,0.004
throw,shell,3,0.004
put-down,teapot,3,0.004
squeeze-into,sausage,3,0.004
pick-up,sharpener:knife,3,0.004
put-down,tomato:cherry,3,0.004
throw,skin:courgette,3,0.004
squeeze,soap,3,0.004
pick-up,spoon:slotted,3,0.004
step-on,ladder,3,0.004
throw,leftover,3,0.004
pick-up,sweetcorn,3,0.004
throw,box,3,0.004
throw,can,3,0.004
put-down,peeling,3,0.004
put-down,piece:pitta,3,0.004
put-down,pit,3,0.004
throw,egg,3,0.004
stir,lettuce,3,0.004
pick-up,tablespoon,3,0.004
stir,garlic,3,0.004
put-down,pot:small,3,0.004
stir,beef,3,0.004
throw,jar,3,0.004
pick-up,straw,3,0.004
stir,fish,3,0.004
put-down,presser:garlic,3,0.004
stir,curd:lemon,3,0.004
pick-up,stick:cocktail,3,0.004
throw,leek:extra,3,0.004
pick-up,stick:bread,3,0.004
put-down,salmon,3,0.004
spoon-into,chilli,3,0.004
zest-into,lemon,3,0.004
cut-with,mozzarella,3,0.004
open,container:food,3,0.004
distribute,meat:minced,3,0.004
mix,salt,3,0.004
lift-off,dough,3,0.004
inspect,packaging,3,0.004
eat,potato,3,0.004
fetch,garlic,3,0.004
grab,piece:paper,3,0.004
cut,slice:bread,3,0.004
inspect,onion,3,0.004
move-around,piece:tofu,3,0.004
eat,mozzarella,3,0.004
cut,skin,3,0.004
close,milk:soy,3,0.004
cut,cake,3,0.004
check,spill:coffee,3,0.004
get,bread,3,0.004
lift-off,towel:tea,3,0.004
detach-from,egg,3,0.004
adjust,hop,3,0.004
clean,oven:microwave,3,0.004
move,handle:pan,3,0.004
get,bowl:dough,3,0.004
grab,scissors,3,0.004
cover-with,blender,3,0.004
mix,stock,3,0.004
move,cob:corn,3,0.004
dice,carrot,3,0.004
get,bowl:small,3,0.004
lift,pan,3,0.004
lift,saucepan,3,0.004
move,holder:coffee,3,0.004
empty,bottle:milk,3,0.004
open,container:rice,3,0.004
adjust,light,3,0.004
open,chilli,3,0.004
close,pack:cheese,3,0.004
lift-up,saucepan,3,0.004
close,container:rice,3,0.004
move,aubergine,3,0.004
grab,meat,3,0.004
close,oil:sesame,3,0.004
close,oven:microwave,3,0.004
cut,potato:sweet,3,0.004
hold,lid,3,0.004
get,herb,3,0.004
grab,ladle,3,0.004
move,tray:cutlery,3,0.004
grab,jar,3,0.004
close,package:cheese,3,0.004
drain,can,3,0.004
adjust,mat:place,3,0.004
check,temperature:oil,3,0.004
grab,piece:coriander,3,0.004
adjust,machine:coffee,3,0.004
close,moka,3,0.004
open,bottle:passata,3,0.004
get,cover,3,0.004
grab,pepper,3,0.004
cut,sausage,3,0.004
lift-up,bowl:large,3,0.004
move,wire,3,0.004
mix-with,water,3,0.004
lift-up,chopstick,3,0.004
grab,paste:garlic,3,0.004
cover,container,3,0.004
hold,handle:saucepan,3,0.004
cut,salad,3,0.004
fold,box,3,0.004
empty,can,3,0.004
lift,dough,3,0.004
grab,ham,3,0.004
clean,rag,3,0.004
lather,peeler,3,0.004
lather,knife:soap,3,0.004
clean,tap,3,0.004
fold,paper:foil,3,0.004
open,box:salt,3,0.004
lather,holder:filter,3,0.004
clean,top,3,0.004
crush-into,bag,3,0.004
open,box:tea,3,0.004
lather,hand,3,0.004
hang,glove,3,0.004
gather,peeling:carrot,3,0.004
hang,clothes,3,0.004
check,pizza,3,0.004
lather,saucer:soap,3,0.004
open,box:milk,3,0.004
end,video,3,0.004
close,garbage,3,0.004
move,detergent,3,0.004
empty,wok,3,0.004
lay,meat,3,0.004
adjust,cup,3,0.004
lay,towel:tea,3,0.004
change,temperature,3,0.004
heat,bacon,3,0.004
mix-in,yoghurt,3,0.004
lay-onto,egg,3,0.004
empty,salt,3,0.004
lay-onto,paper:baking,3,0.004
cut,apple,3,0.004
cut-into,mozzarella,3,0.004
lay-over,towel:tea,3,0.004
mix-in,potato,3,0.004
fold,paper:filter,3,0.004
grab,tongs,3,0.004
cut-with,meat,3,0.004
empty,dishwasher,3,0.004
move-in,potato,3,0.004
move-in,piece:tofu,3,0.004
grate,cheese,3,0.004
move,grater,3,0.004
open,cap,3,0.004
move-in,oil,3,0.004
grate,parmesan,3,0.004
clean,water,3,0.004
open,carrot,3,0.004
cut,beef,3,0.004
empty,coffee,3,0.004
grab,towel,3,0.004
move-in,fridge,3,0.004
lick,spoon,3,0.004
check,recipe,3,0.004
open,bottle:water,3,0.004
clean,towel,3,0.004
move,floor,3,0.004
fold,paper:baking,3,0.004
clean,top:kitchen,3,0.004
lather,dish,3,0.004
gather,skin:potato,3,0.004
close,jug,3,0.004
clean,peeler:potato,3,0.004
create,sandwich,3,0.004
move,foil,3,0.004
mix-with,meat,3,0.004
lather,cup:soap,3,0.004
close,ladder,3,0.004
move,cover:plastic,3,0.004
extract,cereal,3,0.004
light,stove,3,0.004
lift-up,pan,3,0.004
clean,dish,3,0.004
move,piece:meat,3,0.004
break-in,meat,3,0.004
hold,spoon:wooden,3,0.004
look-in,oven,3,0.004
open,bag:pasta,3,0.004
get,soap,3,0.004
close,bag:oregano,3,0.004
lower,pan,3,0.004
apply,hummus,3,0.004
open,bag:carrot,3,0.004
get,spice,3,0.004
drop-into,piece:cucumber,3,0.004
drink,milk,3,0.004
chop,piece:pepper,3,0.004
move,scissors,3,0.004
flatten,paper:greaseproof,3,0.004
dry,dish,3,0.004
get-out,food:cooked,3,0.004
close,pan,3,0.004
dry,glove:rubber,3,0.004
insert-into,plug,3,0.004
flip,dough,3,0.004
insert,bread,3,0.004
close,wrap,3,0.004
cut,dog:hot,3,0.004
cut,orange,3,0.004
dry,ladle,3,0.004
look-for,cup:measuring,3,0.004
cut,package,3,0.004
move,soap,3,0.004
move,peach,3,0.004
close,packet,3,0.004
get,spinach,3,0.004
drop-into,pan,3,0.004
chop,onion:spring,3,0.004
measure,salt,3,0.004
move,processor:food,3,0.004
get,yoghurt,3,0.004
get-from,biscuit,3,0.004
chop,chorizo,3,0.004
chop,cilantro,3,0.004
chop,cucumber,3,0.004
move,pot:moka,3,0.004
move,ramekin,3,0.004
fill-with,tin,3,0.004
adjust,tray,3,0.004
get,towel:paper,3,0.004
close,pot:coffee,3,0.004
open,grinder,3,0.004
move,rest,3,0.004
cut,kiwi,3,0.004
move,sauce,3,0.004
close,rice,3,0.004
break,chocolate,3,0.004
mix,bowl,3,0.004
move,pot:coffee,3,0.004
move,rice,3,0.004
move,bowl:salad,3,0.004
open,bag:grape,3,0.004
get,stock,3,0.004
move,plug,3,0.004
move,box:recycling,3,0.004
drop-into,carrot,3,0.004
move,salad,3,0.004
move,sandwich,3,0.004
get,spoon:wooden,3,0.004
clip,bread,3,0.004
flip,chip,3,0.004
look-at,thermometer,3,0.004
check,knife,3,0.004
grab,butter,3,0.004
grab,can,3,0.004
clear,hand,3,0.004
drain-from,bowl,3,0.004
hold,mug,3,0.004
move,base:pizza,3,0.004
fill,filter:water,3,0.004
close,bun:bao,3,0.004
get,oil:olive,3,0.004
